Hostplus Superannuation Fund,,,,
HC High Growth Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC High Growth Option —Assets,,,Summary,
SMITH & NEPHEW PLC -NEW,922320,192,"3,842",0.00%
SMITH (A.O.) CORP COM USD1,2816023,"2,108","232,250",0.02%
SMITHS INDUSTRIES PLC,B1WY233,42,"1,466",0.00%
SMUCKER J M CO COM NEW,2951452,27,"4,800",0.00%
SMURFIT WESTROCK PLC,BRK49M5,135,"11,768",0.00%
SNAM SPA,7251470,579,"4,145",0.00%
SNAP INC - A SNAP,BD8DJ71,220,"3,818",0.00%
SNAP ON INC COM,2818740,9,"5,032",0.00%
SNOWFLAKE INC-CLASS A,BN134B7,63,"15,755",0.00%
SOCIETE GENERALE,5966516,160,"7,257",0.00%
SODEXHO ALLIANCE SA SODEXHO ALLIANCE SA,7062713,17,"2,328",0.00%
SOFINA NPV,4820301,2,745,0.00%
SOFTBANK CORP,BF5M0K5,"6,551","13,390",0.00%
SOFTBANK GROUP CORP,6770620,227,"21,400",0.00%
S-OIL CORPORATION,6406055,"4,271","256,796",0.02%
SOLLERS PJSC SVAV,7425305,"1,292",0,0.00%
SOLVENTUM CORP-W/I,BMTQB43,33,"3,528",0.00%
SOMPO HOLDINGS INC,B62G7K6,249,"10,552",0.00%
SONIC HEALTHCARE LTD,6821120,"19,513","527,054",0.05%
Sonova Holding AG,7156036,"1,045","552,022",0.05%
SONY GROUP CORP,6821506,"11,301","391,273",0.04%
SOOCHOW SECURITIES CO LTD-A,BP3R6Z9,"16,568","28,430",0.00%
SOUTH32 LTD S32,BWSW5D9,"878,042","2,985,344",0.28%
SOUTHERN CO COM,2829601,239,"31,715",0.00%
SOUTHWEST AIRLS CO COM,2831543,21,"1,142",0.00%
SPARK NEW ZEALAND LTD,6881500,"133,336","358,673",0.03%
SPARTAN RESORCES LTD/AUSTRA,BS2L471,"307,602","433,718",0.04%
SPIRAX GROUP PLC,BWFGQN1,12,"1,671",0.00%
SPOTIFY TECHNOLOGY SA SPOT,BFZ1K46,"1,987","1,436,029",0.14%
SQUARE ENIX HOLDINGS CO LTD,6309262,"1,197","75,624",0.01%
SS&C TECHNOLOGIES HOLDINGS,B58YSC6,68,"8,269",0.00%
SSE PLC,790873,257,"8,346",0.00%
ST JAMES'S PLACE CAPITAL PLC ST JAMES'S,766937,"25,432","446,525",0.04%
STANDARD CHARTERED PLC,408284,678,"13,561",0.00%
STANDARDAERO INC,US85423L1035 (ISIN),773,"30,900",0.00%
STANLEY BLACK & DECKER INC,B3Q2FJ4,32,"4,138",0.00%
STANMORE COAL LTD NPV,B4KDPZ6,"46,403","139,672",0.01%
STANTEC INC COM NPV,2854238,26,"3,273",0.00%
STAR ENTERTAINMENT GRP LTD,BD5ZR98,-512,-97,0.00%
STARBUCKS CORP COM,2842255,"3,138","462,519",0.04%
STATE BANK OF INDIA,BSQCB24,"1,472","22,075",0.00%
STATE STR CORP COM,2842040,73,"11,505",0.00%
STEADFAST GROUP LTD NPV,BCT5FD7,"24,746","143,527",0.01%
STEEL DYNAMICS INC COM,2849472,"1,100","202,709",0.02%
STELLANTIS NV,BMD8F98,"3,474","73,473",0.01%
STELLANTIS NV,BMD8KX7,492,"10,351",0.00%
STERIS PLC,BFY8C75,18,"6,086",0.00%
STMICROELECTRONICS NV,5962332,156,"6,327",0.00%
STOCKLAND NPV (STAPLED),6850856,"227,169","1,090,413",0.10%
STORA ENSO OYJ-R SHS,5072673,85,"1,376",0.00%
STRAUMANN HOLDING AG-REG,BQ7ZV06,26,"5,354",0.00%
STRIKE ENERGY LTD NPV,B01NQF4,"207,704","43,618",0.00%
STRYKER CORP COM,2853688,77,"44,840",0.00%
SUBARU CORP,6356406,113,"3,288",0.00%
SUMEC CORP LTD-A,BMF4S06,"2,786","5,699",0.00%
SUMITOMO CORPORATION,6858946,260,"9,173",0.00%
SUMITOMO ELECTRIC INDS ORD,6858708,135,"3,947",0.00%
SUMITOMO FORESTRY CO LTD,6858861,"3,028","164,724",0.02%
SUMITOMO METAL MINING CO LTD,6858849,49,"1,819",0.00%
SUMITOMO MITSUI FINANCIAL GR,6563024,"5,448","210,754",0.02%
SUMITOMO MITSUI TRUST GROUP,6431897,"4,417","167,574",0.02%
SUMITOMO OSAKA CEMENT CO LTD,6858548,"2,066","70,441",0.01%
SUMITOMO REALTY & DEVELOPMNT,6858902,65,"3,313",0.00%
SUN COMMUNITIES INC COM USD0.01,2860257,24,"4,703",0.00%
SUN CORP,6507118,"2,269","229,269",0.02%
SUN HUNG KAI PROPERTIES,6859927,286,"4,441",0.00%
SUN LIFE FINANCIAL INC,2566124,143,"13,671",0.00%
SUNCOR ENERGY INC COM,B3NB1P2,"3,765","216,970",0.02%
SUNCORP GROUP LTD,6585084,"108,032","2,053,679",0.19%
SUNGROW POWER SUPPLY CO LT-A,BD5CGB4,"3,461","56,220",0.01%
SUNTORY BEVERAGE & NPV,BBD7Q84,56,"2,861",0.00%
SUNWODA ELECTRONIC CO LTD-A,BD5CCV6,"1,126","5,527",0.00%
SUPER MICRO COMPUTER INC,US86800U3023 (ISIN),125,"6,164",0.00%
SUPER RETAIL GROUP LTD,B01C7R0,"13,971","212,082",0.02%
SUPERLOOP LTD SLC,BYPC6V1,"102,233","223,890",0.02%
SUZUKI MOTOR CORPORATION,6865504,331,"6,081",0.00%
SVB FINANCIAL GROUP COM USD0.001,2808053,117,1,0.00%
SVENSKA CELLULOSA AB-B SHS,B1VVGZ5,163,"3,337",0.00%
SVENSKA HANDELSBANKEN-A,BXDZ9Q1,509,"8,503",0.00%
SVITZER A/S,BPXW7F1,48,"2,405",0.00%
SWATCH GROUP AG/THE-BR,7184725,3,888,0.00%
SWEDBANK AB - A SHARES,4846523,251,"8,009",0.00%
SWEDISH ORPHAN BIOVITRUM AB,B1CC9H0,79,"3,672",0.00%
SWIRE PACIFIC LTD  'A',6867748,79,"1,160",0.00%
SWIRE PACIFIC LTD 'B',6867760,"30,421","70,841",0.01%
SWISS LIFE HOLDING AG-REG,7437805,7,"9,311",0.00%
SWISS PRIME SITE-REG CHF25.60(REGD),B083BH4,13,"2,246",0.00%
SWISS RE AG,B545MG5,66,"15,362",0.00%
SWISSCOM AG ORD SHS(REGD),5533976,8,"6,975",0.00%
SYENSQO SA,BPSLYH4,20,"2,376",0.00%
SYLVANIA PLATINUM LTD,B3V5PR6,"66,038","55,837",0.01%
SYMBOTIC INC,BPG82M8,"7,384","282,761",0.03%
SYMRISE AG NPV (BR),B1JB4K8,31,"5,374",0.00%
SYNCHRONY FINANCIAL SYF,BP96PS6,"5,239","550,003",0.05%
SYNOPSYS INC COM,2867719,"1,136","890,416",0.08%
SYNTHOMER PLC,BNTVWJ7,"15,977","52,031",0.00%
SYRAH RESOURCES LTD NPV,B23HV20,"477,922","97,974",0.01%
SYSCO CORP COM,2868165,"5,886","726,868",0.07%
SYSMEX CORPORATION SHS,6883807,138,"4,147",0.00%
T HASEGAWA CO LTD NPV,6899268,"1,290","41,151",0.00%
T ROWE PRICE GROUP INC COM,2702337,50,"9,193",0.00%
T&D HOLDINGS INC,6744294,126,"3,773",0.00%
TABCORP HOLDINGS LIMITED,6873262,"305,196","172,436",0.02%
TAISEI CORPORATION,6870100,47,"3,207",0.00%
TAIWAN SEMICONDUCTOR MANUFAC,6889106,"126,858","6,718,267",0.64%
TAIWAN SEMICONDUCTOR-SP ADR,2113382,"13,807","4,403,983",0.42%
TAKEDA PHARMACEUTICAL CO LTD,6870445,321,"13,798",0.00%
TAKE-TWO INTERACTIVE S COM,2122117,34,"10,031",0.00%
TALANX AG TALANX AG,B8F0TD6,-15,"-2,028",0.00%
TAMBURI INVESTMENT PARTNERS EUR0.52,B0NN179,"21,645","303,725",0.03%
TANDEM DIABETES CARE INC TNDM,BF3W461,"10,620","617,843",0.06%
TANGSHAN PORT GROUP CO LTD-A,BP3R9F0,"31,204","32,333",0.00%
TANGSHAN SANYOU CHEMICAL I-A,BP3RB98,"1,730","2,055",0.00%
TARGA RESOURCES CORP COM USD0.001,B55PZY3,33,"9,615",0.00%
TARGET CORP COM,2259101,103,"22,406",0.00%
TATA CONSULTANCY SVS LTD,B01NPJ1,"23,385","1,806,402",0.17%
TAV HAVALIMANLARI HOLDING AS TRY1,B1RMFT9,"5,286","66,160",0.01%
TAYLOR WIMPEY PLC,878230,394,972,0.00%
TC ENERGY CORP,BJMY6G0,224,"16,885",0.00%
TCL CORP-A,BD5CP28,"3,048","3,372",0.00%
TCS GROUP HLDG PLC GDR EACH REPR 1 A REG,BF233S0,"4,409",0,0.00%
TDK CORP TDK CORP,6869302,348,"7,411",0.00%
TE CONNECTIVITY PLC,BRC3N84,72,"16,531",0.00%
TECHNOLOGY ONE LIMITED NPV(POST RECON),6302410,"61,000","1,909,906",0.18%
TECHTRONIC INDUSTRIES CO,B0190C7,"20,649","440,064",0.04%
TECK RESOURCES LTD-CLS B,2879327,"1,423","93,132",0.01%
TEEJAY LANKA PLC,B5ZXWL3,"101,710","29,379",0.00%
TELE2 AB-B SHS,B97C733,-21,-343,0.00%
TELECOM ITALIA EUR0.55,7634394,"4,249","1,753",0.00%
TELEDYNE TECHNOLOGIES INC COM USD0.01,2503477,11,"7,981",0.00%
TELEFLEX INC COM,2881407,8,"2,380",0.00%
TELEFONICA SA EUR1,5732524,"1,056","6,951",0.00%
TELENOR ASA,4732495,202,"3,651",0.00%
TELEPERFORMANCE EUR2.50,5999330,11,"1,593",0.00%
TELEVISION BROADCASTS LTD,B87ZDH1,"26,065","16,421",0.00%
TELIA CO AB,5978384,188,844,0.00%
TELIX PHARMACEUTICALS LTD TLX,BF7M092,"55,498","1,365,812",0.13%
TELKOM INDONESIA PERSERO TBK,BD4T6W7,"5,411,961","1,471,734",0.14%
TELSTRA CORP LTD SHS,6087289,"1,821,571","7,304,501",0.69%
TELUS CORP COM WHEN ISSUE,2381093,52,"1,130",0.00%
TEMENOS AG - REG,7147892,9,"1,085",0.00%
TEMPLE & WEBSTER GROUP LTD TPW,BZ1MWM5,-19,-248,0.00%
TENARIS SA,BMHVLR3,"3,507","105,997",0.01%
TENCENT HOLDINGS LTD,BMMV2K8,"44,335","3,843,993",0.36%
TENCENT HOLDINGS LTD-UNS ADR TCEHY,B3F2DZ7,"4,739","407,027",0.04%
TERADYNE INC COM,2884183,37,"7,577",0.00%
TERNA SPA SHS,B01BN57,296,"3,770",0.00%
TERNIUM SA-SPONSORED ADR ADR EACH REPR 1,B0XGGY0,"5,417","254,407",0.02%
TERUMO CORP,6885074,274,"8,637",0.00%
TESCO PLC,BLGZ986,"28,951","215,682",0.02%
TESLA INC,B616C79,"4,002","2,610,440",0.25%
TEVA PHARMACEUTICAL IN ADR,2883878,225,"8,021",0.00%
TEXAS INSTRS INC COM,2885409,216,"65,564",0.01%
TEXAS PACIFIC LAND CORP,BM99VY2,61,"108,806",0.01%
TFI INTERNATIONAL INC,BDRXBF4,16,"3,550",0.00%
THAI BEVERAGE PCL THB1,B15F664,"879,836","567,707",0.05%
THAI UNION GROUP PCL F-TU,BYTBHT9,"594,536","366,132",0.03%
THANACHART CAPITAL-FOREIGN,BF5DGN3,"16,477","39,418",0.00%
THE CAMPBELL'S COMPANY,2162845,42,"2,836",0.00%
THERMO FISHER SCIENTIFIC INC,2886907,973,"817,344",0.08%
THOMSON-REUTERS CORP,BPLLTY3,36,"9,246",0.00%
THOR INDUSTRIES INC,2889876,414,"64,051",0.01%
TIANMA MICROELECTRONICS-A,BD5CKM3,"34,348","68,235",0.01%
TIANSHAN ALUMINUM GROUP CO-A,BMQBT81,872,"1,509",0.00%
TIDEWATER INC TDW,BDFGDQ0,"1,261","111,427",0.01%
TietoEVRY Oyj,5479702,"12,758","363,159",0.03%
TIME DOTCOM COM MYR1,6336538,"26,951","45,657",0.00%
TINGYI (CAYMAN ISLN) HLDG CO,6903556,"33,927","71,388",0.01%
TINY LTD,BRJPGZ1,"61,207","112,041",0.01%
TIS INC,B2Q4CR0,22,853,0.00%
TITAN CO LTD,6139340,"6,888","422,687",0.04%
TJX COS INC NEW COM,2989301,"5,033","982,082",0.09%
TMK PJSC TRMK,B590TG4,"23,874",0,0.00%
T-MOBILE US INC,B94Q9V0,122,"43,506",0.00%
TMX GROUP LTD COM NPV,B8KH5G7,74,"3,669",0.00%
TOAST INC-CLASS A,BP6D7B7,58,"3,426",0.00%
TODA CORPORATION,6893884,"6,468","63,982",0.01%
TOEI ANIMATION CO LTD,6301871,437,"15,863",0.00%
TOEI CO LTD ORD,6895181,"3,730","224,632",0.02%
TOHO CO LTD TOHO CO LTD,6895200,8,479,0.00%
TOKIO MARINE HOLDINGS INC,6513126,396,"23,340",0.00%
TOKYO CEMENT LANKA-NON VOTIN,B0G5FY7,"192,912","64,762",0.01%
TOKYO ELECTRIC POWER CO HOLDINGS INC,6895404,328,"1,601",0.00%
TOKYO ELECTRON LIMITED,6895675,117,"29,175",0.00%
TOKYO GAS CO LTD,6895448,96,"4,305",0.00%
TOKYU CORPORATION,6896548,111,"1,930",0.00%
TOPBUILD CORP-W/I,BZ0P3W2,229,"115,152",0.01%
TOPPAN HOLDINGS INC,6897024,"4,842","209,444",0.02%
TORAY INDUSTRIES INC,6897143,445,"4,584",0.00%
TORO CO COM,2897040,"3,724","481,830",0.05%
TOROMONT INDUSTRIES LTD COM STK NPV,2897103,21,"2,624",0.00%
TORONTO DOMINION BK ON COM NEW,2897222,392,"33,693",0.00%
TOSEI CORP NPV,6735823,"12,705","328,765",0.03%
TOTALENERGIES SE,B15C557,515,"45,924",0.00%
TOTO LIMITED ORD,6897466,32,"1,240",0.00%
TOURMALINE OIL CORP COM NPV,B3QJ0H8,63,"4,716",0.00%
TOYO SEIKAN GROUP HOLDINGS LTD,6900267,"11,085","274,151",0.03%
TOYOTA INDUSTRIES CORP,6900546,"2,375","313,984",0.03%
TOYOTA MOTOR CORP,6900643,"12,309","397,957",0.04%
TOYOTA TSUSHO CORP,6900580,151,"4,387",0.00%
TPG TELECOM LTD TPG TELECOM LTD,BMB2257,"356,565","1,600,976",0.15%
TRACTOR SUPPLY COMPANY COM USD0.008,2900335,"5,803","497,335",0.05%
TRADE DESK INC/THE -CLASS A TTD,BD8FDD1,"9,199","1,746,230",0.17%
TRADEWEB MARKETS INC-CLASS A TW,BJXMVK2,"2,132","450,897",0.04%
TRANE TECHNOLOGIES PLC,BK9ZQ96,58,"34,470",0.00%
TRANSOCEAN LTD,B3KFWW1,"10,315","62,476",0.01%
TRANSUNION TRU,BYMWL86,"2,201","329,609",0.03%
Transurban Group,6200882,"86,416","1,157,106",0.11%
TRAVELERS COS INC/THE,2769503,55,"21,287",0.00%
TREASURY WINE ESTATES LTD,B61JC67,"204,196","2,313,542",0.22%
TRELLEBORG AB-B SHS SER'B'NPV,4902384,52,"2,905",0.00%
TREND MICRO INCORPORATED,6125286,34,"3,030",0.00%
TRIMBLE LTD,2903958,46,"5,283",0.00%
TRINA SOLAR CO LTD-A,BP91P03,"5,102","21,663",0.00%
TRIP.COM GROUP LTD,BK1K3N2,"6,209","688,507",0.07%
TRIPLE FLAG PRECIOUS MET,BJ171P4,"3,782","91,752",0.01%
TRUIST FINANCIAL CORP,BKP7287,288,"20,209",0.00%
TRUPANION INC TRUP,BP3YM85,"1,260","98,094",0.01%
TRYG A/S,BXDZ972,68,"2,310",0.00%
"TSUTSUMI JEWELRY CO.,LTD. TSUTSUMI JEWEL",6907150,"1,872","42,570",0.00%
TUAS LTD,BM94P78,"6,248","39,735",0.00%
TULLOW OIL PLC SHS,150080,"161,883","70,206",0.01%
TURACO GOLD LTD,BMCC5V3,"13,997","3,569",0.00%
TWILIO INC -A,BD6P5Q0,35,"6,119",0.00%
TYLER TECHNOLOGIES INC COM USD0.01,2909644,398,"370,889",0.04%
TYSON FOODS INC-CL A CL A,2909730,60,"5,554",0.00%
UBER TECHNOLOGIES INC UBER,BK6N347,425,"41,391",0.00%
UBS GROUP AG UBSG,BRJL176,"15,329","757,563",0.07%
UCB SA NPV,5596991,31,"9,929",0.00%
UDR INC COM USD0.01,2727910,80,"5,577",0.00%
U-HAUL HOLDING CO,BP0VMC3,17,"1,762",0.00%
ULTA SALON COSMETICS & FRAGR COM STK USD,B28TS42,13,"9,330",0.00%
ULTRATECH CEMENT LTD,B01GZF6,"1,588","342,192",0.03%
UNIBAIL - RODAMCO-WESTFIELD,BF2PQ09,34,"4,150",0.00%
UNIBAIL-RODAMCO-WTFIELD-CDI,BDDR365,"4,721","28,420",0.00%
UNI-CHARM CORPORATION UNI-CHARM CORPORAT,6911485,325,"4,344",0.00%
UNICREDIT SPA UCGM,BYMXPS7,397,"25,560",0.00%
UNILEVER PLC,B10RZP7,"13,444","1,236,748",0.12%
UNILEVER PLC,BLRB262,24,"2,242",0.00%
UNION PAC CORP COM,2914734,611,"225,139",0.02%
UNITED OVERSEAS BANK,6916781,260,"11,198",0.00%
UNITED PARCEL SERVICE CL B,2517382,169,"34,489",0.00%
UNITED RENTALS INC COM,2134781,15,"17,120",0.00%
UNITED THERAPEUTICS CORP COM STK USD0.01,2430412,10,"5,687",0.00%
UNITED UTILITIES GROUP PLC,B39J2M4,201,"4,265",0.00%
UNITEDHEALTH GROUP INC,2917766,"1,129","922,368",0.09%
UNIVERSAL HEALTH SERVICES-B CLASS'B'COM,2923785,16,"4,536",0.00%
UNIVERSAL MUSIC GROUP BV,BNZGVV1,"7,799","322,438",0.03%
UNIVERSAL SCIENTIFIC INDUS-A,BP3R4F5,"22,461","81,532",0.01%
UNIVERSAL STORE HOLDINGS LTD,BMCK9H1,"22,646","194,305",0.02%
UPM-KYMMENE OYJ,5051252,"2,763","122,721",0.01%
UPTAKE TECHNOLOGIES INC CLASS C COMMON S,MFSS000000312163,"24,599",0,0.00%
US BANCORP COM NEW,2736035,333,"25,690",0.00%
USHIO INC,6918981,"4,920","107,693",0.01%
VALARIS LTD,BMY0YX0,"2,036","145,466",0.01%
VALERO ENERGY CORP NEW COM,2041364,78,"15,364",0.00%
VALLOUREC SA,BLGWF90,"2,471","67,848",0.01%
VALMET CORP,BH6XZT5,"1,094","42,692",0.00%
VANGUARD AUST SHARES IDX ETF,AU000000VAS1 (ISIN),"11,304","1,150,000",0.11%
VARUN BEVERAGES LTD,BQB80M6,"44,088","531,044",0.05%
VAT GROUP AG,BYZWMR9,6,"3,525",0.00%
VAULT MINERALS LTD,BSML1B4,"538,071","177,563",0.02%
VEECO INSTRUMENTS INC COM STK USD0.01,2938422,496,"21,465",0.00%
VEEVA SYSTEMS INC-CLASS A COM USD0.00001,BFH3N85,968,"328,577",0.03%
VENTAS INC COM USD0.25,2927925,88,"8,325",0.00%
VENTIA SERVICES GROUP PTY LT,BNV08F0,"4,620","16,631",0.00%
VERALTO CORP-W/I,BPGMZQ5,47,"7,753",0.00%
VERBUND AG,4661607,6,747,0.00%
VERISIGN INC COM,2142922,"4,305","1,439,087",0.14%
VERISK ANALYTICS INC-CLASS A COM USD0.00,B4P9W92,852,"379,081",0.04%
VERIZON COMMUNICATIONS COM,2090571,"1,003","64,801",0.01%
VERRA MOBILITY CORP,BFXX5X8,"11,235","438,770",0.04%
VERTEX PHARMACEUTICALS INC COM USD0.01,2931034,59,"38,486",0.00%
VERTIV HOLDINGS CO,BL3LWS8,90,"16,581",0.00%
VESTAS WIND SYSTEMS A/S,BN4MYF5,246,"5,414",0.00%
VIATRIS INC-W/I,BMWS3X9,386,"7,759",0.00%
VICI PROPERTIES INC,BYWH073,"1,183","55,805",0.01%
VICINITY CENTERS VCX,BY7QXS7,"283,973","596,342",0.06%
VICTORIAN PLUMBING PLC,BNVVHD4,"121,068","227,260",0.02%
VICTORY GIANT TECHNOLOGY -A,BD76164,"4,390","40,649",0.00%
VIETNAM DAIRY PRODUCT CO VND10000,B16GLK5,"67,497","271,213",0.03%
VINCI SA,B1XH026,105,"17,562",0.00%
VIPSHOP HOLDINGS LTD - ADS,B3N0H17,"4,000","87,023",0.01%
VISA INC-CLASS A SHARES COM STK USD0.000,B2PZN04,"10,087","5,149,016",0.49%
VISTA ENERGY SAB DE CV,US92837L1098 (ISIN),"2,136","186,693",0.02%
VISTRA CORP,BZ8VJQ8,83,"18,516",0.00%
VISTRY GROUP PLC,185929,"11,961","138,393",0.01%
VITESSE ENERGY INC-W/I,BMBX3P7,232,"9,360",0.00%
VIVA ENERGY GROUP LTD VEA,BYQM3N1,"653,784","1,719,452",0.16%
VODAFONE GROUP PLC,BH4HKS3,"5,471","7,559",0.00%
VOLKSWAGEN AG-PREF,5497168,51,"7,596",0.00%
VOLTRONIC POWER TECHNOLOGY VOLTRONIC POW,B96HCH8,"2,960","271,231",0.03%
VOLVO AB-A SHS VOLVO AB-A SHS,B1QH7Y4,-94,"-3,694",0.00%
VOLVO AB-B SHS,B1QH830,400,"15,702",0.00%
VONOVIA SE,BBJPFY1,138,"6,762",0.00%
VULCAN MATLS CO COM,2931205,27,"11,395",0.00%
WABTEC CORP,2955733,41,"12,692",0.00%
WALGREENS BOOTS ALLIANCE INC WBA,BTN1Y44,166,"2,503",0.00%
WALMART DE MEXICO-SER V SER'V'NPV,BW1YVH8,"36,153","154,145",0.01%
WALMART INC,2936921,999,"145,804",0.01%
WAREHOUSES DE PAUW SCA,BK8VQD9,53,"1,694",0.00%
WARNER BROS DISCOVERY INC,BM8JYX3,488,"8,338",0.00%
WARRIOR MET COAL INC HCC,BF2X272,"3,254","285,033",0.03%
WASHINGTON H. SOUL PATTINSON NPV,6821807,"12,864","440,217",0.04%
WASTE CONNECTIONS INC,BYVG1F6,53,"14,578",0.00%
WASTE MGMT INC DEL COM,2937667,94,"30,731",0.00%
WATCHES OF SWITZERLAND GROUP,BJDQQ87,"5,403","61,149",0.01%
WATERS CORP COM,2937689,621,"372,080",0.04%
WATSCO INC COM USD0.50,2943039,8,"6,126",0.00%
WAYPOINT REIT LTD WPR,BLBQ285,"151,821","353,744",0.03%
WEB TRAVEL GROUP LTD,6015815,"111,800","513,161",0.05%
WEBJET GROUP LTD,BSY5JG5,"77,571","67,487",0.01%
WEC ENERGY GROUP INC,BYY8XK8,71,"10,726",0.00%
WEG SA COM NPV,2945422,"24,208","333,969",0.03%
WEICHAI POWER CO LTD-A,BD5CQ03,"21,598","65,097",0.01%
WELLS FARGO & CO NEW COM,2649100,"5,464","619,881",0.06%
WELLTOWER INC HCN,BYVYHH4,153,"31,155",0.00%
WESFARMERS LIMITED,6948836,"39,224","2,805,700",0.27%
WEST AFRICAN RESOURCES LTD WAF,B4KBBN0,-249,-357,0.00%
WEST FRASER TIMBER CO LTD COM NPV,2951098,"1,742","243,629",0.02%
WEST JAPAN RAILWAY CO,6957995,123,"3,546",0.00%
WEST PHARMACEUTICAL SERVICES COM USD0.25,2950482,14,"7,392",0.00%
WESTERN DIGITAL CORP COM,2954699,63,"6,024",0.00%
WESTERN MINING CO -A,BP3R7X4,"22,298","78,833",0.01%
WESTGOLD RESOURCES LTD,BYVQ673,"36,727","103,938",0.01%
WESTLAKE CORP,B01ZP20,9,"1,661",0.00%
WESTON GEORGE LTD COM,2956662,19,"4,889",0.00%
WESTPAC BANKING CORPORATION,6076146,"232,709","7,521,167",0.71%
WETHERSPOON (J.D.) PLC ORD GBP0.02,163895,"13,348","162,002",0.02%
WEYERHAEUSER CO WY,2958936,498,"22,660",0.00%
WH GROUP LTD,BLLHKZ1,"218,532","273,079",0.03%
WHARF HOLDINGS LTD,6435576,485,"2,202",0.00%
WHARF REAL ESTATE INVESTMENT 1997,BF0GWS4,609,"2,516",0.00%
WHEATON PRECIOUS METALS CORP,BF13KN5,95,"8,592",0.00%
WHITBREAD PLC SHS,B1KJJ40,20,"1,188",0.00%
WHITEHAVEN COAL LTD NPV,B1XQXC4,"81,159","503,188",0.05%
WILL SEMICONDUCTOR CO LTD-A,BK947V2,"2,583","59,339",0.01%
WILLIAMS COS INC DEL COM,2967181,265,"23,154",0.00%
WILLIAMS-SONOMA INC COM,2967589,22,"6,471",0.00%
WILLIS TOWERS WATSON PLC,BDB6Q21,228,"115,555",0.01%
WILMAR INTERNATIONAL LTD SGD0.5,B17KC69,303,"1,113",0.00%
WINGTECH TECHNOLOGY CO LTD-A,BK4PZC7,"2,352","20,066",0.00%
WISE PLC - A,BL9YR75,"15,342","330,809",0.03%
WISETECH GLOBAL LTD WTC,BZ8GX83,"21,564","2,610,481",0.25%
WIX.COM LTD,BFZCHN7,12,"4,320",0.00%
WOLTERS KLUWER CVA EUR0.12,5671519,"2,634","706,734",0.07%
WOODSIDE ENERGY GROUP LTD,BMGT167,"204,142","5,021,895",0.48%
WOOLWORTHS GROUP LTD,6981239,"66,908","2,040,039",0.19%
WORKDAY INC-CLASS A COM USD0.001,B8K6ZD1,"2,444","1,018,639",0.10%
WORLDLINE SA - W/I WORLDLINE SA - W/I,BNFWR44,0,0,0.00%
WORLEY GROUP LTD SHS,6562474,"282,302","3,867,535",0.37%
WP CAREY INC COM USD0.001,B826YT8,56,"4,921",0.00%
WPP PLC,B8KF9B4,301,"5,035",0.00%
WSP GLOBAL INC,BHR3R21,27,"7,717",0.00%
WULIANGYE YIBIN CO LTD-A,BD5CPG2,"14,012","431,684",0.04%
WUXI APPTEC CO LTD-A,BHWLWV4,"2,465","29,852",0.00%
WYNN RESORTS LTD,2963811,19,"2,607",0.00%
XCEL ENERGY INC COM,2614807,145,"15,786",0.00%
XCMG CONSTRUCTION MACHIN-A,BD5CM27,"24,842","43,339",0.00%
XERO LTD,B8P4LP4,"34,911","5,884,661",0.56%
XIAMEN C & D INC-A,BP3R6L5,"20,664","47,823",0.00%
XIAMEN FARATRONIC CO LTD-A,BP3RDD6,"4,303","112,564",0.01%
XI'AN MANARECO NEW MATERIA-A,CNE100005X80 (ISIN),85,583,0.00%
XIAOMI CORP-CLASS B,BG0ZMJ9,"176,485","1,265,969",0.12%
XINFENGMING GROUP CO LTD-A,BFB4M98,"3,886","9,515",0.00%
XINJIANG GOLDWIND SCI&TECH-A,BD5CQ58,"9,448","21,471",0.00%
XINYI GLASS HOLDING CO LTD,B05NXN7,"277,118","454,610",0.04%
XINYI SOLAR HLDGS,BGQYNN1,"350,082","228,558",0.02%
XYLEM INC COM USD0.01 WI,B3P2CN8,53,"9,843",0.00%
YAKULT HONSHA CO LTD,6985112,46,"1,422",0.00%
YAMAHA MOTOR CO LTD,6985264,240,"3,470",0.00%
YANCOAL AUSTRALIA LTD,B84LB45,"15,351","99,782",0.01%
YANGZIJIANG SHIPBUILDING NPV,B1VT035,507,"1,796",0.00%
YARA INTERNATIONAL ASA NOK1.7,7751259,19,803,0.00%
YASKAWA ELECTRIC CORP JPY50,6986041,43,"1,790",0.00%
YDUQS PART,BJGV3C2,"87,543","195,683",0.02%
YEALINK NETWORK TECHNOLOGY-A,BFCCR07,"15,224","129,283",0.01%
YETI HOLDINGS INC,BGR7KH2,"5,090","316,601",0.03%
YOKOGAWA ELECTRIC CORP,6986427,19,671,0.00%
YOUCARE PHARMACEUTICAL GRO-A,CNE100005XQ2 (ISIN),282,893,0.00%
YUM BRANDS INC COM,2098876,56,"12,036",0.00%
YUNNAN ALUMINIUM CO LTD-A,BD5CB75,"17,909","53,306",0.01%
YUNNAN BAIYAO GROUP CO LTD-A,BD5CP95,"6,976","92,009",0.01%
YUNNAN YUNTIANHUA CO-A,BP3RBJ8,"28,009","137,411",0.01%
ZALANDO SE ZAL,BQV0SV7,87,"4,695",0.00%
ZEALAND PHARMA A/S DKK1,B0SDJB4,-7,"-1,059",0.00%
ZEBRA TECHNOLOGIES CORP-CL A 'A'COM USD0,2989356,582,"363,047",0.03%
ZENKOKU HOSHO CO L NPV,B92MT10,"3,904","222,434",0.02%
