Hostplus Superannuation Fund,,,,
HC Conservative Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Conservative Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
BANK OF NEW YORK MELLON CORP,B1Z77F6,166,"20,615",0.00%
BANK OF NINGBO CO LTD -A,BD5CP06,"5,343","28,577",0.00%
BANK OF QUEENSLAND LTD,6076243,"61,049","409,026",0.02%
BANK RAKYAT INDONESIA PERSER,6709099,"1,165,860","477,323",0.02%
BANK ST PETERSBURG PJSC BSPB,B596R68,"22,203",0,0.00%
BANK SYARIAH INDONESIA TBK P,BFY6H41,"142,390","39,007",0.00%
BANNERMAN ENERGY LTD,B07DXJ1,"44,167","128,085",0.01%
BANQUE CANTONALE VAUDOIS-REG,BMFY8R3,0,34,0.00%
BAOSHAN IRON & STEEL CO-A,BP3R2Y0,"86,505","133,217",0.01%
BAPCOR LTD,BLD2CY7,"301,272","1,422,005",0.07%
BARCLAYS,3134865,"43,262","234,656",0.01%
BARRATT REDROW PLC,81180,"3,753","33,407",0.00%
BARRICK GOLD CORP COM,2024644,327,"8,195",0.00%
BARRY CALLEBAUT AG CHF100(REGD),5476929,0,516,0.00%
BASF SE,5086577,558,"39,619",0.00%
BAXTER INTL INC COM,2085102,106,"4,972",0.00%
BAYERISCHE MOTOREN WERKE-PFD NON VTG PRF,5756030,3,394,0.00%
BCE INC COM,B188TH2,10,356,0.00%
BE SEMICONDUCTOR INDUSTRIES,BG0SCK9,"4,458","986,487",0.05%
BEACH ENERGY LTD,6088204,"631,207","880,534",0.04%
BEACON LIGHTING GROUP LTD,BKXF175,"60,897","185,737",0.01%
BECHTLE AG NPV,5932409,6,324,0.00%
BECTON DICKINSON AND CO,2087807,"1,737","636,567",0.03%
BEGA CHEESE LTD NPV,B56CQJ5,"30,237","174,469",0.01%
BEIERSDORF AG BEIERSDORF AG,5107401,"5,830","1,209,112",0.06%
BEIGENE LTD-A,BNHPM91,"9,898","350,617",0.02%
BEIGENE LTD-ADR,BYYWPW6,"1,801","537,315",0.03%
BEIJER REF AB,BP2NJ48,54,"1,299",0.00%
BEIJING CAPITAL CO LTD-A,BP3R7K1,"128,100","92,436",0.00%
BEIJING KINGSOFT OFFICE SO-A,BNR4NQ2,316,"19,905",0.00%
BEIJING NEW BUILDING MATER-A,BD5CJ26,"11,718","78,138",0.00%
BEIJING ORIENTAL YUHONG-A,BD5CFP1,"5,622","16,055",0.00%
BEIJING SEEYON INTERNET SO-A,BNHPN43,"1,647","7,274",0.00%
BEIJING ULTRAPOWER SOFTWARE-A,BD5CLJ7,"41,116","104,836",0.01%
