Hostplus Superannuation Fund,,,,
HC Conservative Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Conservative Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
INVITATION HOMES INC,BD81GW9,110,"5,703",0.00%
IPD GROUP LTD,BP9SCC5,"20,261","78,410",0.00%
IPERIONX LTD,BMCB2H5,"33,688","185,283",0.01%
IPH LTD IPH,BS7K5S1,"16,208","81,524",0.00%
IPSEN EUR1,B0R7JF1,3,593,0.00%
IQVIA HOLDINGS INC,BDR73G1,"1,881","596,891",0.03%
IRESS MARKET TECHNOLOGY LTD NPV,6297497,"75,984","707,411",0.03%
IRON MTN INC PA COM,BVFTF03,64,"10,830",0.00%
ISRAEL DISCOUNT BANK-A ILS0.10 SER'A',6451271,-13,-144,0.00%
ISUZU MOTORS LTD COM,6467104,100,"2,227",0.00%
ITAU UNIBANCO HLDNG-PREF ADR,2849739,"65,326","523,323",0.03%
ITC LTD,B0JGGP5,"26,164","238,719",0.01%
ITOCHU CORP ORD,6467803,"1,371","110,332",0.01%
ITT INC,BZBY209,"1,774","409,411",0.02%
IVANHOE MINES LTD-CL A IVN,BD73C40,"1,838","35,211",0.00%
J P MORGAN CHASE & CO COM,2190385,"1,509","584,215",0.03%
JABIL INC,2471789,26,"6,058",0.00%
JACK HENRY & ASSOCIATES INC COM USD0.01,2469193,"1,286","363,996",0.02%
JAFRON BIOMEDICAL CO LTD-A,BFY8H03,315,"2,035",0.00%
JAMES HARDIE INDUSTRIES PLC,B60QWJ2,"71,763","3,593,157",0.17%
JAPAN AIRLINES COMPANY LTD NPV,B8BRV46,87,"2,228",0.00%
JAPAN ELEVATOR SERVICE HOLDI 6544,BF0QWT5,574,"17,190",0.00%
JAPAN EXCHANGE GROUP INC,6743882,146,"2,653",0.00%
JAPAN PETROLEUM EXPLORATION SHS,6711696,"15,204","177,342",0.01%
JAPAN POST BANK CO LTD 7182,BYT8165,240,"3,680",0.00%
JAPAN POST HOLDINGS CO LTD 6178,BYT8143,485,"7,422",0.00%
JAPAN POST INSURANCE CO LTD 7181,BYT8154,14,415,0.00%
JAPAN REAL ESTATE INVESTMENT,6397580,2,"2,758",0.00%
JAPAN TOBACCO INC,6474535,208,"8,741",0.00%
JARDINE MATHESON HLDGS ORD,6472119,"2,894","191,473",0.01%
JB HI-FI LTD NPV,6702623,"7,593","703,717",0.03%
JD SPORTS FASHION,BM8Q5M0,249,483,0.00%
JD.COM INC - CL A,BKPQZT6,"24,893","703,907",0.03%
JD.COM INC-ADR,BMM27D9,"3,315","185,645",0.01%
JDE PEET'S BV JDEP,BMC4ZZ3,75,"2,080",0.00%
JEFFERIES FINANCIAL GROUP IN,BG0Q4Z2,"3,985","504,651",0.02%
JERONIMO MARTINS,B1Y1SQ7,121,"3,732",0.00%
JFE HOLDINGS INC NPV,6543792,131,"2,394",0.00%
JIANGSU CHANGJIANG ELECTRONI,BP3RCQ2,"8,982","80,743",0.00%
JIANGSU HENGRUI MEDICINE C-A,BP3R369,"2,830","28,573",0.00%
JIANGSU PHOENIX PUBLISH-A,BP3R5F2,"13,101","33,259",0.00%
JOBY AVIATION INC,BMCRLL0,"20,183","265,025",0.01%
JOHN KEELLS HOLDINGS PLC NPV,6475538,"2,927,437","364,701",0.02%
JOHNS LYNG GROUP LTD,BYPHBX3,-43,-163,0.00%
JOHNSON & JOHNSON COM,2475833,"4,478","1,046,078",0.05%
JOHNSON CONTROLS INTERNATION,BY7QL61,124,"15,834",0.00%
JOHNSON ELECTRIC HLDGS,BP4JH17,"29,189","66,151",0.00%
JOINCARE PHARMACEUTICAL GR-A,BP3RBV0,"14,523","36,008",0.00%
JUDO CAPITAL HOLDINGS LTD,BMW7F41,"142,679","259,676",0.01%
JULIUS BAER GROUP LTD,B4R2R50,50,"5,265",0.00%
JUMBO INTERACTIVE LTD JUMBO INTERACTIVE,6524474,"2,075","28,878",0.00%
JUNIPER NETWORKS INC COM,2431846,61,"3,704",0.00%
KAJIMA CORP,6481320,101,"2,986",0.00%
KANSAI ELECTRIC POWER,6483489,152,"2,741",0.00%
KANSAI PAINT CO LTD,6483746,"19,177","446,001",0.02%
KAO CORP,6483809,97,"6,400",0.00%
KAR AUCTION SERVICES INC COM USD0.01,B4Y1MH7,"21,164","678,169",0.03%
KAROON ENERGY LTD,B00SV00,"121,250","168,537",0.01%
KASIKORNBANK PCL (ALIEN MKT),6888794,"73,413","540,776",0.03%
KAWASAKI KISEN KAISHA LTD NPV,6484686,141,"3,266",0.00%
KBC CORP LTD-A,IE000S9YS762 (ISIN),"2,429","11,252",0.00%
KDDI CORP,6248990,888,"46,023",0.00%
KE HOLDINGS INC,BMBX7M2,"8,695","258,694",0.01%
KELLANOVA,2486813,56,"7,379",0.00%
KELSIAN GROUP LTD,BPBKR80,"61,062","223,488",0.01%
KENVUE INC,BQ84ZQ6,"26,178","902,685",0.04%
KEPPEL LTD,B1VQ5C0,337,"2,730",0.00%
KERING,5505072,16,"6,566",0.00%
KERRY GROUP PLC-A 'A'ORD EUR0.125,490656,18,"2,768",0.00%
KERRY GROUP PLC-A ORD,4519579,"1,539","240,083",0.01%
KESKO OYJ-B SHS NPV SER'B',4490005,143,"4,358",0.00%
KEURIG DR PEPPER INC,BD3W133,227,"11,792",0.00%
KEYCORP NEW COM,2490911,128,"3,544",0.00%
KEYENCE CORPORATION,6490995,627,"416,204",0.02%
KEYERA CORP COM NPV,B3SGMV5,57,"2,828",0.00%
KEYSIGHT TECHNOLOGIES IN-W/I KEYS-W,BQZJ0Q9,"1,696","440,122",0.02%
KGL RESOURCES LTD,B066SP2,"169,505","16,103",0.00%
KIKKOMAN CORPORATION KIKKOMAN CORPORATIO,6490809,149,"2,690",0.00%
KIMBERLY CLARK CORP COM,2491839,65,"13,826",0.00%
KIMCO REALTY CORP COM STK USD0.01,2491594,130,"4,909",0.00%
KINDER MORGAN INC COM USD0.01,B3NQ4P8,398,"17,612",0.00%
KINGFA SCI.& TECH CO LTD-A,BP3R8H5,"4,100","7,794",0.00%
KINGFISHER PLC,3319521,"52,721","265,221",0.01%
KINGNET NETWORK CO LTD-A 002517,BD5CC27,"12,534","37,530",0.00%
KINGSPAN GROUP PLC ORD EUR0.13,492793,32,"3,714",0.00%
KINGSPAN GROUP PLC ORD EUR0.13,4491235,"2,347","276,481",0.01%
KINROSS GOLD CORP,B03Z841,212,"3,181",0.00%
KIRIN HOLDINGS COMPANY LIMITED,6493745,125,"2,626",0.00%
KKR & CO INC,BG1FRR1,122,"29,049",0.00%
KLA-TENCOR CORP COM,2480138,28,"28,293",0.00%
KLEPIERRE EUR1.40,7582556,80,"3,718",0.00%
KMD BRANDS LTD,B59HM77,"285,205","111,230",0.01%
KNIGHT-SWIFT TRANSPORTATION,BF0LKD0,40,"3,409",0.00%
KNORR-BREMSE AG,BD2P9X9,4,504,0.00%
KOBE BUSSAN CO LTD 3038,B14RJB7,29,"1,014",0.00%
KOC HOLDING AS TRY1,B03MVJ8,"10,402","84,852",0.00%
KOGAN.COM LTD,BYYY339,"27,794","172,602",0.01%
KOITO MANUFACTURING CO LTD NPV,6496324,"2,256","46,557",0.00%
KOKUSAI ELECTRIC CORP,BNGHNG2,40,872,0.00%
KOMORI CORPORATION,6496658,"10,064","124,943",0.01%
KONAMI GROUP CORP,6496681,32,"4,924",0.00%
KONE CORP NEW NPV ORD 'B',B09M9D2,66,"5,169",0.00%
KONINKLIJKE AHOLD DELHAIZE NV,BD0Q398,202,"10,615",0.00%
KONINKLIJKE KPN NV,5956078,982,"5,775",0.00%
KONINKLIJKE PHILIPS NV,5986622,206,"8,425",0.00%
KOREA ELECTRIC POWER CORP,6495730,"9,649","212,248",0.01%
KOREA INVESTMENT HOLDINGS CO KRW5000,6654586,"3,972","310,703",0.02%
KOTAK MAHINDRA BANK LTD,6135661,"19,568","659,316",0.03%
KPIT TECHNOLOGY LTD,BFMX0X4,"11,018","304,437",0.01%
KR1 PLC,BYYPQX3,"22,915","29,666",0.00%
KRAFT HEINZ CO/THE,BYRY499,178,"8,850",0.00%
KRAFTON INC,BMBP900,594,"203,627",0.01%
KREDIETBANK NV PARTS S ORD,4497749,105,"13,067",0.00%
KROGER CO COM,2497406,"1,645","162,497",0.01%
KT CORP,6505316,"1,666","80,138",0.00%
KT CORP SPONSORED ADR,2419875,"4,456","111,689",0.01%
KUBOTA CORP,6497509,297,"5,612",0.00%
KUEHNE & NAGEL INTL AG-REG CHF1(REGD)(PO,B142S60,11,"4,215",0.00%
KWEICHOW MOUTAI CO LTD-A,BP3R2F1,"2,763","926,315",0.05%
KYOCERA CORP ORD,6499260,"4,483","72,577",0.00%
KYOTO FINANCIAL GROUP INC,BMV4NR2,"6,181","147,368",0.01%
KYOWA KIRIN CO LTD,6499550,194,"4,740",0.00%
LA FRANCAISE DES JEUX SAEM FDJ,BG0SC10,29,"1,824",0.00%
LABCORP HOLDINGS INC,BSBK800,19,"7,185",0.00%
LAM RESEARCH CORP,US5128073062 (ISIN),"1,231","143,556",0.01%
LAMB WESTON HOLDING INC LW-W,BDQZFJ3,28,"2,980",0.00%
LAND SECURITIES GROUP PLC,BYW0PQ6,72,848,0.00%
LARGAN PRECISION CO LTD,6451668,"3,639","479,560",0.02%
LAS VEGAS SANDS CORP COM USD0.001,B02T2J7,73,"6,088",0.00%
LASERTEC CORPORATION LASERTEC CORPORATIO,6506267,19,"3,001",0.00%
LAUDER ESTEE COS INC CL A,2320524,47,"5,680",0.00%
LEAR CORP,B570P91,"2,965","453,492",0.02%
LEG IMMOBILIEN AG NPV,B9G6L89,20,"2,687",0.00%
LEGAL & GENERAL GROUP PLC,560399,926,"4,306",0.00%
LEGEND UPSTAR HOLDINGS LTD,BYXGD92,"112,375","1,822",0.00%
LEGRAND LEGRAND,B11ZRK9,65,"10,239",0.00%
Lendlease Group,AU000000LLC3 (ISIN),"357,169","2,225,164",0.11%
LENNAR CORP COM,2511920,49,"10,835",0.00%
LENNOX INTERNATIONAL INC,2442053,6,"5,491",0.00%
LENS TECHNOLOGY CO LTD-A,BD5CP17,"23,973","115,502",0.01%
LENTA LTD-REG S LNTA,BJ621Y3,"2,726",0,0.00%
LEO LITHIUM LTD,BPX2X20,"189,726","95,812",0.00%
LESAKA TECHNOLOGIES INC,B0B0WZ7,"16,378","143,104",0.01%
LG CHEM LTD,6346913,329,"90,211",0.00%
LIBERTY BROADBAND-A LBRDA,BRTLBY3,12,"1,428",0.00%
LIBERTY BROADBAND-C LBRDK,BRTLC06,59,"7,165",0.00%
LIBERTY LATIN AMERICA-CL A-WI,BD9Q3P5,420,"4,319",0.00%
LIBERTY LATIN AMERICA-CL-C-WI,BD9Q3Q6,571,"5,844",0.00%
LIBERTY MEDIA CORP-LIBERTY-A,BPLYVQ8,32,"3,436",0.00%
LIBERTY MEDIA CORP-LIBERTY-C,BPLYVR9,46,"5,107",0.00%
LIBERTY MEDIA CORP-LIB-NEW-A,BPLYVM4,26,"3,574",0.00%
LIBERTY MEDIA CORP-LIB-NEW-C,BPLYVN5,571,"85,456",0.00%
LIC HOUSING FINANCE LTD,6101026,"11,546","130,263",0.01%
LIFCO AB-B SHS,BL6K7K9,46,"2,158",0.00%
LIFE360 INC-CDI,BJMXQ67,"63,547","1,432,338",0.07%
LIFESTYLE COMMUNITIES LTD NPV,6137195,"9,271","79,358",0.00%
LIGHT & WONDER INC-CDI,BMXNX11,"10,537","1,445,194",0.07%
LINAMAR CORP COM NPV,2516022,"6,257","399,070",0.02%
LINDE PLC,BNZHB81,98,"66,411",0.00%
LINDT & SPRUENGLI AG-PC,5962280,0,"5,833",0.00%
LINGYI ITECH GUANGDON-RIGHTS18NOV24,CNE1000015L5 (ISIN),18,0,0.00%
LINK REIT NPV,B0PB4M7,446,"3,048",0.00%
LIONS GATE ENTERTAINMENT-B LGF/B,BD8NB53,0,0,0.00%
LIONTOWN RESOURCES LTD,B1J89V5,"1,461",767,0.00%
LIVANOVA PLC LIVN,BYMT0J1,"4,865","363,875",0.02%
LIVE NATION ENTERTAINMENT INC,B0T7YX2,27,"5,736",0.00%
LIVON PHARMACEUTICAL GROU-A,BD5CQ25,"10,579","88,444",0.00%
LKQ CORP COM USD0.01,2971029,67,"3,947",0.00%
LLOYDS BANKING GROUP PLC,870612,"182,520","202,246",0.01%
LOBLAW COS LTD COM,2521800,26,"5,457",0.00%
LOEWS CORP COM,2523022,607,"83,051",0.00%
LOGITECH INTERNATIONAL-REG CHF0.25(REGD),B18ZRK2,30,"3,997",0.00%
LOJAS RENNER S.A. SHS,B0CGYD6,"50,905","161,299",0.01%
LOMA NEGRA CIA IND-SPON ADR,BYP6YP3,"4,189","80,773",0.00%
LOMON BILLIONS GROUP CO-A,BD5LS71,"4,013","15,599",0.00%
LONDON STOCK EXCHANGE GROUP ORD GBP0.069,B0SWJX3,"7,545","1,722,283",0.08%
LONZA AG-REG,7333378,14,"12,936",0.00%
LOOMIS AB-B,BMVB566,"7,278","357,904",0.02%
L'OREAL,4057808,48,"27,562",0.00%
LOTTERY CORP/THE,BNRQW72,"19,450","96,084",0.00%
LOTUS BAKERIES,4224992,0,563,0.00%
LOTUS RESOURCES LTD,BK6XLC1,"1,271,373","254,275",0.01%
LOUISIANA-PACIFIC CORP COM,2535243,"1,548","258,943",0.01%
LOVISA HOLDINGS LTD,BT9PVP0,"12,671","382,152",0.02%
LOWES COS INC COM,2536763,117,"46,648",0.00%
LPL FINANCIAL HOLDINGS INC LPL FINANCIAL,B75JX34,15,"7,653",0.00%
LSL PROPERTY SERVICES PLC ORD GBP0.002,B1G5HX7,"2,577","15,847",0.00%
LUCECO PLC LUCE,BZC0LP4,"27,830","72,282",0.00%
LUFTHANSA AG,5287488,103,"1,061",0.00%
LUKOIL 0AO-CLS,4560588,578,0,0.00%
LUKOIL PJSC-SPON ADR LKOD,BYZDW27,13,0,0.00%
LULULEMON ATHLETICA INC COM STK USD0.01,B23FN39,580,"358,228",0.02%
LUNDBERGS AB-B SHS SER'B'NPV,4538002,56,"4,072",0.00%
LUNDIN MINING CORP COM NPV,2866857,223,"3,101",0.00%
LUXSHARE PRECISION INDUSTR-A,BD5CN80,"4,124","36,978",0.00%
LVMH MOET HENNESSY LOUIS VUITTON SE,4061412,541,"574,851",0.03%
LY CORPORATION,6084848,471,"2,028",0.00%
LYNAS RARE EARTHS LTD,6121176,"292,904","1,883,374",0.09%
LYONDELLBASELL INDU-CL A COM USD0.01 CLA,B3SPXZ3,"2,310","277,050",0.01%
M & T BANK CORP COM,2340168,31,"9,295",0.00%
M&C SAATCHI PLC ORD GBP0.01,B01F7T1,"80,070","275,337",0.01%
M&G PRUDENTIAL PLC MNG,BKFB1C6,395,"1,581",0.00%
M3 INC,B02K2M3,116,"1,663",0.00%
MA FINANCIAL GROUP LTD,BMYZBN4,"21,954","134,357",0.01%
MAAS GROUP HOLDINGS LTD,BLD4919,"28,081","134,506",0.01%
MACMAHON HOLDINGS LIMITED NPV,6551160,"991,331","342,009",0.02%
MACQUARIE GROUP LIMITED,B28YTC2,"37,929","8,407,059",0.41%
MACQUARIE TECHNOLOGY GROUP LTD,6175054,692,"61,128",0.00%
MACROTECH DEVELOPERS LTD,BM9G370,"11,574","303,367",0.01%
MAGELLAN FINANCIAL GROU-CW27,BQ3SBX2,-3,0,0.00%
MAGELLAN FINANCIAL GROUP LTD NPV,B015YX4,"21,260","236,416",0.01%
MAGNA INTL INC CL A,2554475,68,"4,565",0.00%
MAGNETIC RESOURCES MAU,B1SDPL3,"39,962","44,158",0.00%
MAGNITOGORSK IRON & STEEL MAGN,B5B1RP0,"6,688",0,0.00%
MAGNOTEC LTD,B6S2SR2,"46,672","8,634",0.00%
MAHINDRA & MAHINDRA LTD,6100186,"7,101","402,836",0.02%
MAJOR CINEPLEX GROUP-FOREIGN THB1(ALIEN,TH0671010Z16,"66,714","46,457",0.00%
MAKEMYTRIP LTD USD0.0005,B552PC2,720,"130,622",0.01%
MAKITA CORP SHS,6555805,508,"25,266",0.00%
MALAYSIA AIRPORTS HLDGS BHD,6188193,"191,751","732,781",0.04%
MANAPPURAM FINANCE LTD,6570400,"7,912","28,127",0.00%
MANHATTAN ASSOCIATES INC COM STK USD0.01,2239471,14,"5,964",0.00%
MANULIFE FINANCIAL CORP COM,2492519,340,"16,886",0.00%
MARATHON PETROLEUM COM USD0.01,B3K3L40,"1,375","309,754",0.02%
MARKEL CORP COM NPV,2566436,2,"5,200",0.00%
MARKETAXESS HOLDINGS INC COM USD0.003,B03Q9D0,7,"2,483",0.00%
MARKS & SPENCER GRP PL SHS,3127489,-355,"-2,694",0.00%
MARRIOTT INTERNATIONAL -CL A,2210614,50,"22,528",0.00%
MARSH & MCLENNAN COS,2567741,"2,200","754,843",0.04%
MARTIN MARIETTA MATERIALS,2572079,11,"9,288",0.00%
MARUBENI CORP,6569464,331,"8,148",0.00%
MARUTI SUZUKI INDIA LTD,6633712,"8,234","1,686,742",0.08%
MARVELL TECHNOLOGY INC,BNKJSM5,169,"30,133",0.00%
MASCO CORP COM,2570200,848,"99,361",0.00%
MASTERCARD INC-CLASS A COM USD0.0001 CLA,B121557,170,"144,594",0.01%
MATCH GROUP INC,BK80XH9,52,"2,766",0.00%
MATSUKIYOCOCOKARA & CO,B249GC0,49,"1,154",0.00%
MAX HEALTHCARE INST LTD,INE027H01010 (ISIN),"15,873","337,814",0.02%
MBIA INC COM STK USD1,2547044,"9,196","95,953",0.00%
MBK PCL,TH0480B10Z01 (ISIN),"8,538","6,957",0.00%
MBK PCL-FOREIGN MBK/F,BFWRH57,"221,025","214,641",0.01%
MCCORMICK & CO INC COM NON VTG,2550161,41,"5,018",0.00%
MCDONALDS CORP COM,2550707,144,"67,545",0.00%
MCDONALD'S HOLDINGS CO JAPAN NPV,6371863,45,"2,841",0.00%
MCKESSON CORP COM,2378534,26,"23,887",0.00%
MCMILLAN SHAKESPEARE LTD NPV,B00G1Q0,352,"5,283",0.00%
MCX LTD,B7L5LS7,660,"77,657",0.00%
MD MEDICAL GROUP INVEST-REGS GDR(EACH RE,B8JZ5X9,"1,768",0,0.00%
MEDIATEK INC,6372480,"21,663","1,510,077",0.07%
MEDIBANK PRIVATE LTD,BRTNNQ5,"218,280","827,283",0.04%
MEDIOBANCA SPA EUR0.5,4574813,24,576,0.00%
MEDTRONIC PLC,BTN1Y11,"4,978","642,256",0.03%
MEG ENERGY CORP COM NPV,B4XF9J1,102,"2,708",0.00%
MEGAPORT LIMITED,BZ5ZWZ3,"15,512","114,322",0.01%
MEIJI HOLDINGS CO LTD NPV,B60DQV3,59,"1,927",0.00%
MEITUAN-CLASS B,BGJW376,"92,204","2,908,258",0.14%
MELROSE INDUSTRIES PLC,GB00BNGDN821,"20,492","229,551",0.01%
MERCADOLIBRE INC COM STK USD0.001,B23X1H3,"1,108","3,042,828",0.15%
MERCEDES-BENZ GROUP AG,5529027,182,"16,389",0.00%
MERCK & CO INC COM,2778844,511,"82,144",0.00%
MERCK KGAA,4741844,28,"6,508",0.00%
MERCURY NZ LTD,B8W6K56,222,"1,176",0.00%
MERIDIAN ENER-PARTLY PAID SH MERIDIAN EN,BWFD052,151,807,0.00%
MESOBLAST LTD NPV,B04SF48,-17,-52,0.00%
META PLATFORMS INC-CLASS A,B7TL820,"1,764","1,668,322",0.08%
METALS ACQUISITION LTD-CDI,BS2KWR4,"13,028","224,204",0.01%
METCASH LTD NPV,B0744W4,"467,560","1,449,437",0.07%
METLIFE INC COM,2573209,131,"17,351",0.00%
METRO INC -A CLASS'A'SUB VTG NPV,2583952,42,"4,301",0.00%
METRO MINING LTD MMI,BTDBK35,"1,183,202","70,992",0.00%
METSO OUTOTEC OYJ,B1FN8X9,70,"1,044",0.00%
METTLER-TOLEDO INTERNATIONAL COM STK USD,2126249,141,"279,207",0.01%
MGM RESORTS INTERNATIONAL,2547419,"4,987","279,088",0.01%
MICHELIN (CGDE),BPBPJ01,120,"6,406",0.00%
MICHELMERSH BRICK HOLDINGS P MBH,B013H06,"65,548","131,926",0.01%
MICROCHIP TECHNOLOGY INC COM,2592174,567,"52,556",0.00%
MICRON TECHNOLOGY INC,2588184,"3,639","494,637",0.02%
MICROSOFT CORP,2588173,"8,628","5,873,862",0.29%
MICROSTRATEGY INC-CL A COM CL'A' USD0.00,2974329,37,"17,506",0.00%
MID-AMERICA APARTMENT COMM COM STK USD0.,2589132,38,"9,485",0.00%
MIDEA GROUP CO LTD-A,BD5CPP1,"22,398","370,641",0.02%
MIDLAND HLDGS HKD0.10,6597700,"85,557","14,943",0.00%
MILLICOM INTL CELLULAR-SDR SHS DEP RCT,B00L2M8,"3,234","128,196",0.01%
MINEBEA MITSUMI INC,6642406,114,"3,001",0.00%
MINERAL RESOURCES LTD NPV,B17ZL56,"40,166","1,375,674",0.07%
MINOR INTERNATIONAL PCL-FOR THB1(ALIEN M,B018BZ4,"104,517","128,729",0.01%
MINTH GROUP LTD,B0RJCG9,"35,251","110,822",0.01%
MIRVAC GROUP STAPLED SECURITIES,6161978,"741,252","1,389,848",0.07%
MITSUBISHI CHEMICAL GROUP CO,B0JQTJ0,207,"1,700",0.00%
MITSUBISHI CORP ORD,6596785,"5,822","155,790",0.01%
MITSUBISHI ELEC CORP,6597045,347,"9,576",0.00%
MITSUBISHI ESTATE CO LTD,6596729,"4,537","102,592",0.00%
MITSUBISHI HC CAPITAL INC,6268976,68,733,0.00%
MITSUBISHI HEAVY INDS LTD,6597067,569,"12,996",0.00%
MITSUBISHI UFJ FINANCIAL GRO NPV,6335171,"2,190","41,553",0.00%
MITSUI & CO LTD ORD,6597302,501,"17,035",0.00%
MITSUI CHEMICALS INC,6597368,14,513,0.00%
MITSUI FUDOSAN CO LTD,6597603,540,"7,053",0.00%
MITSUI O.S.K. LINES LTD,6597584,55,"3,115",0.00%
MIZRAHI TEFAHOT BANK LTD ILS0.01,6916703,82,"5,697",0.00%
MIZUHO FINANCIAL GROUP INC,6591014,470,"18,692",0.00%
MMC NORILSK NICKEL OJSC-RTS RUB1(RUB),7131431,"2,725",0,0.00%
MMC NORILSK NICKEL PJSC,B5B1TX2,"4,475",0,0.00%
MODERNA INC MRNA,BGSXTS3,"5,203","349,438",0.02%
MOHAWK INDUSTRIES INC COM,2598699,"2,079","399,965",0.02%
MOLINA HEALTHCARE INC COM,2212706,11,"5,131",0.00%
MOLSON COORS BEVERAGE CO,B067BM3,32,"2,984",0.00%
MONADELPHOUS GROUP LIMITED NPV,6600471,"4,149","58,082",0.00%
MONASH IVF GROUP LTD MONASH IVF GROUP LT,BMSK748,"108,429","137,705",0.01%
MONCLER SPA,BGLP232,"12,492","1,065,125",0.05%
MONDAY.COM LTD,BMHRYX8,7,"2,534",0.00%
MONDELEZ INTERNATIONAL INC,B8CKK03,260,"25,127",0.00%
MONDI PLC,BMWC6P4,"9,054","218,307",0.01%
MONGODB INC MDB,BF2FJ99,13,"4,800",0.00%
MONOLITHIC POWER SYSTEMS INC COM STK USD,B01Z7J1,9,"8,645",0.00%
MONOTARO CO LTD MONOTARO CO,B1GHR88,"7,971","218,882",0.01%
MONSTER BEVERAGE CORP MNST,BZ07BW4,"7,608","645,870",0.03%
MONTAUK RENEWABLES INC,BMDMWB1,"4,460","31,683",0.00%
MONTAUK RENEWABLES INC,BN6HHQ0,"4,216","27,103",0.00%
MOODYS CORP COM,2252058,"2,847","2,176,351",0.11%
MORGAN STANLEY COM NEW,2262314,"3,353","680,815",0.03%
MOSAIC CO COM USD0.01,B3NPHP6,70,"2,783",0.00%
MOTOR OIL (HELLAS) SA EUR0.3 (CR),5996234,"3,691","127,427",0.01%
MOTORCOMM ELECTRONIC TECHN-A,CNE100005ZK0 (ISIN),735,"16,006",0.00%
MOTOROLA SOLUTIONS INC,B5BKPQ4,672,"501,831",0.02%
MOUNT GIBSON IRON LTD,6963743,"672,964","198,524",0.01%
MOWI ASA,B02L486,58,"1,601",0.00%
MP MATERIALS CORP,BN15Y35,"4,570","115,138",0.01%
MS&AD INSURANCE GROUP HOLDIN,B2Q4CS1,"1,939","68,724",0.00%
MSC INDUSTRIAL DIRECT CO-A CL A COM USD0,2567655,"2,180","262,991",0.01%
MSCI INC-A COM STK USD0.01 CLS'A',B2972D2,693,"671,894",0.03%
MTN GROUP LTD ZAR0.0001,6563206,"24,174","190,337",0.01%
MTR CORP,6290054,438,"2,469",0.00%
MTU AERO ENGINES AG,B09DHL9,12,"6,697",0.00%
MUENCHENER RUECKVER AG-REG,5294121,24,"19,790",0.00%
MULTIPLAN EMPREENDIMENTOS COM NPV,B23DZG0,"22,590","124,495",0.01%
MURATA MFG CO LTD,6610403,330,"8,671",0.00%
MUYUAN FOODSTUFF CO LTD-A,BD5CJX7,"5,439","45,997",0.00%
MYSTATE LTD NPV,B41XHK4,"4,824","21,517",0.00%
NANOSONICS LTD NPV,B1WF979,"51,343","154,542",0.01%
NANYANG TOPSEC TECHNOLOGIE-A,BD73L76,"14,434","20,482",0.00%
NASDAQ INC,2965107,82,"10,207",0.00%
NASPERS LTD-N SHS,BN0VX82,954,"340,661",0.02%
NATIONAL AUSTRALIA BANK LTD,6624608,"190,538","7,068,943",0.34%
NATIONAL BANK OF CANADA COM,2077303,61,"8,986",0.00%
NATIONAL BANK OF GREECE ETE,BG087C6,"16,821","215,498",0.01%
NATIONAL GRID PLC NG/LN,BDR05C0,"1,247","23,972",0.00%
NATIONAL STORAGE REIT REIT UNITS,BGP6479,-270,-631,0.00%
NATWEST GROUP PLC,BM8PJY7,"8,075","65,677",0.00%
NAURA TECHNOLOGY GROUP CO-A,BD5LYF1,"1,461","125,689",0.01%
NAVER CORP,6560393,"2,594","566,031",0.03%
NEC CORP SHS,6640400,60,"8,475",0.00%
NEMETSCHEK SE,5633962,17,"2,728",0.00%
NESTE OIL OYJ NPV,B06YV46,"10,105","204,905",0.01%
NESTLE S A SHS,7123870,"7,573","1,010,690",0.05%
NETAPP INC,2630643,44,"8,321",0.00%
NETEASE INC,BM93SF4,"34,891","1,004,023",0.05%
NETFLIX INC COM USD0.001,2857817,"1,417","2,039,887",0.10%
NETWEALTH GROUP LTD NWL,BF52PL1,"39,626","1,139,245",0.06%
NEUREN PHARMACEUTICALS LTD NEU,B04LVF0,"12,212","152,645",0.01%
NEUROCRINE BIOSCIENCES INC COM USD0.001,2623911,19,"4,178",0.00%
NEW CHINA LIFE INSURANCE C-A,BP3R3F8,"1,443","15,779",0.00%
NEW HOPE CORP LTD,6681960,"125,803","623,980",0.03%
NEW WORLD DEVELOPMENT,BM94GQ4,"20,065","21,527",0.00%
NEWAY VALVE SUZHOU CO LTD-A,BS7K3W1,"12,962","63,220",0.00%
NEWMONT  CORP,2636607,212,"12,743",0.00%
NEWMONT CORP,BJYKTV2,9,542,0.00%
NEWMONT CORP-CDI,BRDVMB3,"53,391","3,178,881",0.15%
NEWS CORP - CLASS B- CDI,BD7SZP7,"3,092","153,075",0.01%
NEWS CORP/NEW-CL A-W/I NEWS CORP/NEW-CL,BBGVT40,120,"5,351",0.00%
NEXGEN ENERGY LTD-CDR,BLR8K36,"195,630","2,114,760",0.10%
NEXI SPA NEXI,BJ1F880,"34,930","313,128",0.02%
NEXON CO LTD NPV,B63QM77,"1,467","35,818",0.00%
NEXT PLC SHS,3208986,"1,036","198,979",0.01%
NEXTDC LTD NPV,B5LMKP4,"89,347","1,346,464",0.07%
NEXTERA ENERGY INC,2328915,424,"49,109",0.00%
NIB HOLDINGS LTD NPV,B28ZM60,"53,682","294,177",0.01%
NIBE INDUSTRIER AB-B SHS,BN7BZM3,374,"2,364",0.00%
NICE LTD,6647133,19,"5,104",0.00%
