Hostplus Superannuation Fund,,,,
HC Defensive Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Defensive Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
PINEWOOD TECHNOLOGIES GROUP,BSB7BS0,204,"1,479",0.00%
PING AN BANK CO LTD-A,BD5CPS4,1,2,0.00%
PING AN INSURANCE GROUP CO-A,BP3R284,268,"3,103",0.01%
PING AN INSURANCE GROUP CO-H,B01FLR7,807,"7,728",0.01%
PINNACLE INVESTMENT MANAGEME PNI,BD0F7H1,411,"9,390",0.02%
PINTEREST INC- CLASS A PINS,BJ2Z0H2,1,55,0.00%
PIRAEUS FINANCIAL HOLDINGS S,BNC0DB0,55,352,0.00%
PKO BANK POLSKI SA PLN1,B03NGS5,93,"2,183",0.00%
PNC FINL SVCS GROUP IN COM,2692665,5,"1,566",0.00%
POLYNOVO LTD,BSJBZM6,1,3,0.00%
POP MART INTERNATIONAL GROUP,BN6PP37,126,"2,356",0.00%
PORSCHE AUTOMOBIL HLDG-PRF,7101069,0,20,0.00%
POSTLE ITALIANE SPA PST,BYYN701,1,21,0.00%
POWER ASSETS HOLDINGS LTD,6435327,3,37,0.00%
POWER CORP CDA COM,2697701,2,79,0.00%
POWER GRID CORP OF INDIA LTD,B233HS6,359,"2,091",0.00%
PPG INDS INC COM,2698470,24,"4,576",0.01%
PPL CORP COM,2680905,2,107,0.00%
PRADA SPA EUR0.1,B4PFFW4,305,"3,815",0.01%
PRAIRIESKY ROYALTY LTD PSK,BN320L4,79,"2,492",0.00%
PREMIER INVESTMENTS LIMITED NPV,6699781,108,"3,483",0.01%
PRIMARIUS TECHNOLOGIES CO -A,CNE1000055M9 (ISIN),3,13,0.00%
PRINCIPAL FINANCIAL GR COM,2803014,1,63,0.00%
PRO MEDICUS LTD PME,6292782,42,"10,506",0.02%
PROCTER & GAMBLE CO COM,2704407,5,"1,409",0.00%
PROGRESS SOFTWARE CORP COM USD0.01,2705198,28,"2,916",0.01%
PROGRESSIVE CORP OHIO COM,2705024,1,482,0.00%
PROLOGIS INC,B44WZD7,2,355,0.00%
PROLOGIS PROPERTY MEXICO SA FIBRAPL,BN56JP1,560,"2,520",0.00%
PROPEL FUNERAL PARTNERS LTD,BYWQNJ3,288,"1,692",0.00%
PROSUS PRX,BJDS7L3,3,215,0.00%
PROYA COSMETICS CO LTD-A,BKM3FN4,52,970,0.00%
PRUDENTIAL FINL INC COM,2819118,1,178,0.00%
PRUDENTIAL PLC,709954,37,482,0.00%
PRYSMIAN SPA NPV,B1W4V69,1,56,0.00%
PTC INC COM USD0.01,B95N910,13,"3,967",0.01%
PUBLIC BANK BHD,B012W42,"1,438","2,369",0.00%
PUBLIC STORAGE COM USD0.10,2852533,0,153,0.00%
PUBLIC SVC ENTERPRISE COM,2707677,1,151,0.00%
PUBLICIS GROUPE ACT,4380429,0,86,0.00%
PULTE GROUP INC,2708841,0,70,0.00%
PUMA SE,5064722,1,49,0.00%
PURE STORAGE INC - CLASS A PSTG,BYZ62T3,1,70,0.00%
PYC THERAPEUTICS LTD,B06NPT6,397,524,0.00%
PYLON TECHNOLOGIES CO LTD-A,BQ3RX88,17,153,0.00%
QANTAS AIRWAYS LIMITED,6710347,"5,130","46,020",0.09%
QBE INSURANCE GROUP LTD,6715740,"3,236","62,127",0.11%
QIAGEN N.V.,BMHCW17,0,20,0.00%
QORIA LTD,BMXLP20,"1,299",637,0.00%
QORVO INC,BR9YYP4,0,19,0.00%
QUALCOMM INC,2714923,7,"1,669",0.00%
QUANTA COMPUTER INC,6141011,81,"1,149",0.00%
QUANTA SERVICES INC COM USD0.00001,2150204,0,161,0.00%
QUBE HOLDINGS LTD,B1L4BC6,"4,894","19,429",0.04%
QUEBECOR INC  -CL B CLASS'B'SUB VTG NPV,2715777,1,23,0.00%
QUECTEL WIRELESS SOLUTIONS-A,BK71FL1,10,152,0.00%
QUEENSLAND PACIFIC METALS LTD,AU0000122251 (ISIN),860,0,0.00%
QUEST DIAGNOSTICS COM,2702791,0,56,0.00%
RAKUTEN GROUP INC,6229597,6,53,0.00%
RAMELIUS RESOURCES LTD NPV,6586872,528,"1,092",0.00%
RAMSAY HEALTH CARE LIMITED SHS,6041995,262,"9,054",0.02%
RANDSTAD HOLDING NV,5228658,0,9,0.00%
RATIONAL AG NPV,5910609,0,15,0.00%
RAYMOND JAMES FINANCIAL INC COM,2718992,0,118,0.00%
RB GLOBAL INC,BMWGTH9,0,71,0.00%
REA GROUP LIMITED,6198578,117,"27,356",0.05%
READYTECH HOLDINGS LTD,BJQP1P3,380,"1,178",0.00%
REALIA BUSINESS SA ORD EUR0.24,B1YJJX5,264,450,0.00%
REALTY INCOME CORP COM USD1,2724193,2,144,0.00%
RECKITT BENCKISER GROUP PLC,B24CGK7,1,139,0.00%
RECORDATI SPA EUR0.5,B07DRZ5,0,36,0.00%
RECRUIT HOLDINGS CO LTD 6098,BQRRZ00,37,"4,245",0.01%
REDEIA CORP SA,BD6FXN3,0,10,0.00%
REDOX LTD/AUSTRALIA,BQ81P89,350,"1,595",0.00%
REECE LTD,6728801,143,"3,211",0.01%
REGENCY CENTERS CORP COM USD0.01,2726177,0,41,0.00%
REGENERON PHARMACEUTIC COM,2730190,0,303,0.00%
REGION GROUP,BPBMY63,"2,757","5,708",0.01%
REGIONS FINL CORP COM,B01R311,2,85,0.00%
REGIS HEALTHCARE LTD,BQV68F9,248,"1,488",0.00%
REGIS RESOURCES LTD NPV,6476542,423,"1,080",0.00%
RELIANCE INC,2729068,9,"3,854",0.01%
RELIANCE INDUSTRIES LTD,6099626,223,"5,121",0.01%
RELIANCE WORLDWIDE CORP LTD RWC,BD1DM79,"1,741","8,740",0.02%
RELX PLC,B2B0DG9,4,293,0.00%
REMY COINTREAU,4741714,37,"3,600",0.01%
RENAULT SA,4712798,1,72,0.00%
RENESAS ELECTRONICS CORP,6635677,3,70,0.00%
RENEWI PLC,BNR4T86,358,"5,851",0.01%
RENTOKIL INITIAL PLC,B082RF1,6,51,0.00%
REPLIGEN CORP COM USD0.01,2731654,21,"4,933",0.01%
REPSOL SA,5669354,3,67,0.00%
REPUBLIC SVCS INC COM,2262530,0,148,0.00%
RESMED INC COM USD0.004,2732903,9,"3,320",0.01%
RESMED INC-CDI RESMED INC-CDI,6221667,"1,541","56,648",0.10%
RESOLUTE MINING LTD NPV,6410636,862,340,0.00%
RESONA HOLDINGS INC NPV,6421553,7,83,0.00%
RESTAURANT BRANDS INTERN QSR,BTF8CF0,1,66,0.00%
REVVITY INC,2305844,0,51,0.00%
REXEL SA EUR5,B1VP0K0,0,8,0.00%
REYSAS GAYRIMENKUL YATIRIM O,B3VKHD1,966,750,0.00%
REYSAS TICARET AS,B0YBSZ9,680,700,0.00%
RH,BYXR425,3,"2,081",0.00%
RICHARD PIERIS & CO PLC RICH,6737603,962,136,0.00%
RICOH COMPANY LIMITED,6738220,1,25,0.00%
RIDLEY CORPORATION LIMITED SHS,6738929,109,295,0.00%
RIGHTMOVE PLC,BGDT3G2,298,"3,869",0.01%
RINNAI CORPORATION,6740582,24,803,0.00%
RIO TINTO LTD NPV,6220103,402,"47,239",0.09%
RIO TINTO PLC - REG,718875,26,"2,512",0.00%
RIVIAN AUTOMOTIVE INC-A,BL98841,205,"4,407",0.01%
RLX TECHNOLOGY INC-ADR,BMBKL76,91,318,0.00%
ROBINHOOD MARKETS INC - A,BP0TQN6,1,78,0.00%
ROBINSONS RETAIL HOLDINGS INC,BFTCYP4,77,77,0.00%
ROBLOX CORP -CLASS A,BMWBC20,82,"7,673",0.01%
ROCHE HOLDING AG-BEARER AKT,7108918,0,58,0.00%
ROCHE HOLDING AG-GENUSSCHEIN,7110388,22,"9,860",0.02%
ROCKCHIP ELECTRONICS CO L-A,BL58MB0,8,187,0.00%
ROCKWELL AUTOMATION IN COM,2754060,9,"4,366",0.01%
ROCKWOOL A/S,4713490,0,8,0.00%
ROGERS COMMUNICATIONS INC-B,2169051,19,940,0.00%
ROKU INC ROKU,BZ1LFG7,0,31,0.00%
ROLLINS INC COM USD1,2747305,1,43,0.00%
ROPER TECHNOLOGIES INC,2749602,0,169,0.00%
ROSS STORES INC COM,2746711,1,167,0.00%
ROX RESOURCES LTD,B00GBJ3,"2,608",522,0.00%
ROYAL BANK OF CANADA COM,2754383,3,605,0.00%
ROYAL CARIBBEAN CRUISES LTD COM,2754907,0,173,0.00%
ROYALTY PHARMA PLC- CL A,BMVP7Y0,1,30,0.00%
RPM INC/OHIO COM,2756174,0,42,0.00%
RS GROUP PLC,309644,237,"3,266",0.01%
RWE AG,4768962,15,732,0.00%
RYAN SPECIALTY HOLDINGS INC,BNXKSK3,26,"2,743",0.01%
RYANAIR HOLDINGS PLC-SP ADR,BYYN585,57,"4,038",0.01%
S F HOLDING CO LTD-A,BD73M39,71,631,0.00%
S&P GLOBAL INC,BYV2325,22,"17,297",0.03%
SAAB AB-B,BPXZH27,0,13,0.00%
SAGA PLC,BMX64W8,521,"1,272",0.00%
SAGAX AB-B SAGAB,B9M3PK4,1,18,0.00%
SAGE GROUP PLC/THE,B8C3BL0,3,80,0.00%
SAIC MOTOR CORPORATION LTD-A,BP3R2D9,38,176,0.00%
SAINSBURYS J P L C ORD,B019KW7,3,16,0.00%
SALESFORCE INC,2310525,2,"1,106",0.00%
SALMAR ASA NOK0.25,B1W5NW2,0,24,0.00%
SAMPO OYJ-A SHS,BMXX645,1,45,0.00%
SAMSARA INC-CL A,BPK3058,139,"9,832",0.02%
SAMSUNG C&T CORP,BSXN8K7,8,"1,052",0.00%
SAMSUNG E&A CO LTD,6765239,25,447,0.00%
SAMSUNG ELECTR-GDR 144A GDR REP 1/2 ORD,B01D632,3,"4,225",0.01%
SAMSUNG ELECTRO MECHANICS,6771689,20,"2,688",0.00%
SAMSUNG ELECTRONICS CO LTD,6771720,202,"11,781",0.02%
SAMSUNG ELECTRONICS-PFD NV,6773812,45,"2,170",0.00%
SAMSUNG SDI CO LTD,6771645,8,"2,090",0.00%
SANDFIRE RESOURCES LTD,6739739,"1,331","12,350",0.02%
SANDOZ GROUP AG,BLPLD38,1,59,0.00%
SANDS CHINA LTD,B5B23W2,351,"1,526",0.00%
SANDVIK AB ORD,B1VQ252,2,69,0.00%
SANGFOR TECHNOLOGIES INC-A,BHQPS70,7,83,0.00%
SANLAM LTD SLM,B0L6750,189,"1,405",0.00%
SANOFI SYNTHELABO,5671735,2,354,0.00%
SANSURE BIOTECH INC-A,CNE1000043J1 (ISIN),1,3,0.00%
SANTANA MINERALS LTD NPV,B9J8CP6,"1,161",563,0.00%
SANTOS LIMITED NPV,6776703,"7,104","47,453",0.09%
SANY HEAVY INDUSTRY CO LTD-A,BP3R3H0,7,24,0.00%
SAP SE,4846288,23,"9,265",0.02%
SAPUTO INC,2112226,0,11,0.00%
SARTORIUS AG-VORZUG SRT3,5843329,15,"5,337",0.01%
SARTORIUS STEDIM BIOTECH,BYZ2QP5,0,19,0.00%
SAYONA MINING LTD,BBX4LR9,"12,328",333,0.00%
SBA COMMUNICATIONS CORP-CL A,BZ6TS23,0,85,0.00%
SBERBANK-SPONSORED ADR,B5SC091,55,0,0.00%
SBI HOLDINGS INC,6309466,1,24,0.00%
SCB X PCL-FOREIGN,BPH0717,100,555,0.00%
SCENTRE GROUP SMART COMMUNICATIONS GROUP,BLZH0Z7,"3,321","11,392",0.02%
SCHINDLER HOLDING AG-REG CHF0.1(REGD)(PO,B11WWH2,0,-2,0.00%
SCHINDLER HOLDING-PART CERT PTG CERT CHF,B11TCY0,0,58,0.00%
SCHLUMBERGER LTD COM,2779201,3,177,0.00%
SCHNEIDER ELECTRIC SE,4834108,1,491,0.00%
SCHRODERS PLC,BP9LHF2,0,0,0.00%
SCHWAB CHARLES CORP NE COM,2779397,76,"9,103",0.02%
SCORPIO TANKERS INC,BHXD297,12,998,0.00%
SCOUT24 SE,BYT9340,0,12,0.00%
SCP POOL CORP COM,2781585,6,"3,238",0.01%
SCREEN HOLDINGS CO LTD,6251028,0,16,0.00%
SCSK CORP,6858474,0,-5,0.00%
SD GUTHRIE BD,BF6RHY2,262,468,0.00%
SDIC ESSENCE HOLDINGS CO L-A,BYYFJ78,46,77,0.00%
SEA LTD-ADR SE,BYWD7L4,81,"13,827",0.03%
SEADRILL LIMITED,BNTBRX6,33,"2,079",0.00%
SEAGATE TECHNOLOGY HOLDINGS,BKVD2N4,7,"1,017",0.00%
SEB SA EUR3,4792132,0,1,0.00%
SECOM CO LTD,6791591,35,"1,946",0.00%
SECURITAS AB-B SHS,5554041,2,40,0.00%
SEEK LTD NPV,B0767Y3,952,"21,494",0.04%
SEGRO PLC ORD GBP0.27083333,B5ZN1N8,2,27,0.00%
SEI INVESTMENTS COMPANY COM USD0.01,2793610,0,21,0.00%
SEIKO EPSON CORP,6616508,0,9,0.00%
SEKISUI CHEMICAL CO,6793821,1,24,0.00%
SEKISUI HOUSE LTD SHS,6793906,1,36,0.00%
SEKISUI JUSHI CORP NPV,6793843,45,972,0.00%
SELECT HARVESTS LIMITED NPV,6260723,539,"2,289",0.00%
SEMBCORP INDUSTRIES LIMITED,B08X163,2,16,0.00%
SEMPRA ENERGY COM,2138158,1,188,0.00%
SENDAS DISTRIBUIDORA SA,BMZ9R04,"1,948","2,868",0.01%
SERVICE CORP INTL COM,2797560,66,"8,518",0.02%
SERVICE STREAM LTD NPV,B04KLG8,"1,616","2,520",0.00%
SERVICENOW INC COM USD0.001,B80NXX8,1,"1,576",0.00%
SEVEN & I HOLDINGS CO LTD NPV,B0FS5D6,5,118,0.00%
SEVERN TRENT PLC,B1FH8J7,1,74,0.00%
SG HOLDING CO LTD,BFFY885,2,36,0.00%
SGH LTD,AU0000364754 (ISIN),461,"21,260",0.04%
SGS SA-REG,CH1256740924,0,51,0.00%
SHANDONG HIMILE MECHANICAL-A 'A'CNY1,BD5CFQ2,47,519,0.00%
SHANDONG HI-SPEED CO LTD -A,BP3R745,146,330,0.00%
SHANDONG LINGLONG TYRE CO -A,BYW5N12,49,195,0.00%
SHANDONG NANSHAN ALUMINUM-A,BP3R9D8,"1,302","1,120",0.00%
SHANDONG PUBLISHING & MEDI-A,BFYQHB8,69,173,0.00%
SHANGHAI CONSTRUCTION CO-A,BP3R6J3,256,149,0.00%
SHANGHAI HIUV NEW MATERIAL-A,CNE100004BY5 (ISIN),1,4,0.00%
SHANGHAI JUNSHI BIOSCIENCE-A,BLCD7F7,7,44,0.00%
SHANGHAI PHARMACEUTICALS-A,BP3R4Z5,35,160,0.00%
SHANGHAI PUDONG DEVEL BANK-A,BP3R2B7,524,"1,185",0.00%
SHANGHAI SMI HOLDING CO LTD,CNE0000005R5 (ISIN),15,14,0.00%
SHANGHAI V-TEST SEMICONDUC-A,CNE100005NK6 (ISIN),4,51,0.00%
SHANGHAI ZHENHUA HEAVY IND-A,CNE000001683 (ISIN),11,10,0.00%
SHELF DRILLING LTD,BDVKB40,322,432,0.00%
SHELL PLC-NEW,BP6MXD8,41,"2,055",0.00%
SHENNAN CIRCUITS CO LTD-A,BFY8GV7,7,200,0.00%
SHENZHEN CHIPSCREEN BIOSCI-A,CNE100003LW0 (ISIN),2,9,0.00%
SHENZHEN INOVANCE TECHNOLO-A,BD5CMN8,75,970,0.00%
SHENZHEN JPT OPTO-ELECTRON-A,CNE1000062T0 (ISIN),0,5,0.00%
SHENZHEN MINDRAY BIO-MEDIC-A,BHQK864,19,"1,040",0.00%
SHENZHEN SUNLORD ELECTRONI-A,BD5C841,7,47,0.00%
SHERWIN WILLIAMS CO COM,2804211,1,280,0.00%
SHIMADZU CORPORATION,6804369,1,26,0.00%
SHIMANO INC SHIMANO INC,6804820,0,40,0.00%
SHIN ETSU CHEMICAL CO LTD,6804585,4,205,0.00%
SHINHAN FINANCIAL GROUP LTD,6397502,61,"3,212",0.01%
SHIONOGI & CO LTD,6804682,2,50,0.00%
SHISEIDO CO LTD ORD,6805265,1,27,0.00%
SHIZUOKA FINANCIAL GROUP INC,BP38QJ6,3,33,0.00%
SHOPIFY INC - A SH,BX865C7,2,425,0.00%
SHOPIFY INC - A SH,BXDZ9Z0,109,"18,689",0.03%
SIBANYE STILLWATER LTD,BL0L913,"2,498","3,202",0.01%
SICHUAN CHUANTOU ENERGY CO-A,BP3R4Y4,102,387,0.00%
SICHUAN KELUN PHARMACEUTIC-A,BD5CL08,81,530,0.00%
SIEMENS A G ORD,5727973,1,473,0.00%
SIEMENS ENERGY AG SIEMENS ENERGY AG,BMTVQK9,2,129,0.00%
SIEMENS HEALTHINEERS AG,BD594Y4,1,58,0.00%
SIEYUAN ELECTRIC CO LTD-A,BD5C7M2,0,5,0.00%
SIG GROUP AG,BD5GN60,3,100,0.00%
SIGMA COMPANY LIMITED SIG,BF13K02,"4,092","10,722",0.02%
SIKA AG-BR,BF2DSG3,0,151,0.00%
SILEX SYSTEMS LIMITED NPV,6111735,471,"2,379",0.00%
SIMON PROPERTY GROUP INC COM USD0.0001,2812452,1,189,0.00%
SIMS LTD,B0LCW75,"1,175","13,960",0.03%
SINGAPORE AIRLINES LTD,6811734,1,11,0.00%
SINGAPORE EXCHANGE LTD,6303866,3,44,0.00%
SINGAPORE TECH ENGINEERING,6043214,1,3,0.00%
SINGAPORE TELECOMMUNICATIONS,B02PY11,22,81,0.00%
SINO BIOPHARMACEUTICAL,B00XSF9,"2,867","1,908",0.00%
SINO LAND CO,6810429,4,6,0.00%
SIRIUS XM HOLDINGS INC,BQWS627,3,95,0.00%
SISTEMA PJSC FC,B5B6XH9,20,0,0.00%
SITC INTERNATIONAL HOLDINGS,B61X7R5,3,12,0.00%
SITEMINDER LTD,BLH35X6,25,153,0.00%
SITIOS LATINOAMERICA SAB DE,BNTFDQ3,1,0,0.00%
SITIOS LATINOAMERICA SA-RTS29NOV2024,MX01LA080009 (ISIN),1,0,0.00%
SK HYNIX INC,6450267,119,"22,749",0.04%
SK KAKEN CO LTD NPV,6826578,12,"1,178",0.00%
SK TELECOM CO LTD ORD,6224871,29,"1,759",0.00%
SKANDINAVISKA ENSKILDA BAN-A SHS A,4813345,3,72,0.00%
SKANSKA AB-B SHS,7142091,0,12,0.00%
SKF AB-B SHARES,B1Q3J35,0,13,0.00%
SKILLSOFT CORP,BMCZQ19,63,"2,419",0.00%
SKYCITY ENTERTAINMENT GROUP,6151311,"3,179","4,165",0.01%
SKYWORKS SOLUTIONS INC COM,2961053,0,57,0.00%
SL GREEN REALTY CORP,BPGKM57,15,"1,667",0.00%
SMARTGROUP CORP LTD SMARTGROUP CORP LTD,BNB5WS6,31,242,0.00%
SMARTONE TELECOMM HLDG ORD,6856995,243,209,0.00%
SMC CORPORATION,6763965,0,76,0.00%
SMITH & NEPHEW PLC -NEW,922320,2,36,0.00%
SMITH (A.O.) CORP COM USD1,2816023,20,"2,170",0.00%
SMITHS INDUSTRIES PLC,B1WY233,0,14,0.00%
SMUCKER J M CO COM NEW,2951452,0,45,0.00%
SMURFIT WESTROCK PLC,BRK49M5,1,111,0.00%
SNAM SPA,7251470,5,39,0.00%
SNAP INC - A SNAP,BD8DJ71,2,36,0.00%
SNAP ON INC COM,2818740,0,47,0.00%
SNOWFLAKE INC-CLASS A,BN134B7,1,149,0.00%
SOCIETE GENERALE,5966516,2,68,0.00%
SODEXHO ALLIANCE SA SODEXHO ALLIANCE SA,7062713,0,22,0.00%
SOFINA NPV,4820301,0,7,0.00%
SOFTBANK CORP,BF5M0K5,62,126,0.00%
SOFTBANK GROUP CORP,6770620,2,202,0.00%
S-OIL CORPORATION,6406055,21,"1,247",0.00%
SOLLERS PJSC SVAV,7425305,12,0,0.00%
SOLVENTUM CORP-W/I,BMTQB43,0,33,0.00%
SOMPO HOLDINGS INC,B62G7K6,2,99,0.00%
SONIC HEALTHCARE LTD,6821120,169,"4,566",0.01%
Sonova Holding AG,7156036,10,"5,158",0.01%
SONY GROUP CORP,6821506,106,"3,660",0.01%
SOOCHOW SECURITIES CO LTD-A,BP3R6Z9,80,138,0.00%
SOUTH32 LTD S32,BWSW5D9,"7,605","25,858",0.05%
SOUTHERN CO COM,2829601,2,299,0.00%
SOUTHWEST AIRLS CO COM,2831543,0,11,0.00%
SPARK NEW ZEALAND LTD,6881500,"1,155","3,107",0.01%
SPARTAN RESORCES LTD/AUSTRA,BS2L471,"2,664","3,757",0.01%
SPIRAX GROUP PLC,BWFGQN1,0,16,0.00%
SPOTIFY TECHNOLOGY SA SPOT,BFZ1K46,19,"13,418",0.02%
SQUARE ENIX HOLDINGS CO LTD,6309262,11,707,0.00%
SS&C TECHNOLOGIES HOLDINGS,B58YSC6,1,78,0.00%
SSE PLC,790873,2,79,0.00%
ST JAMES'S PLACE CAPITAL PLC ST JAMES'S,766937,238,"4,172",0.01%
STANDARD CHARTERED PLC,408284,6,127,0.00%
STANDARDAERO INC,US85423L1035 (ISIN),7,289,0.00%
STANLEY BLACK & DECKER INC,B3Q2FJ4,0,39,0.00%
STANMORE COAL LTD NPV,B4KDPZ6,402,"1,210",0.00%
STANTEC INC COM NPV,2854238,0,31,0.00%
STAR ENTERTAINMENT GRP LTD,BD5ZR98,-4,-1,0.00%
STARBUCKS CORP COM,2842255,29,"4,324",0.01%
STATE BANK OF INDIA,BSQCB24,14,206,0.00%
STATE STR CORP COM,2842040,1,108,0.00%
STEADFAST GROUP LTD NPV,BCT5FD7,214,"1,243",0.00%
STEEL DYNAMICS INC COM,2849472,10,"1,894",0.00%
STELLANTIS NV,BMD8F98,32,687,0.00%
STELLANTIS NV,BMD8KX7,5,97,0.00%
STERIS PLC,BFY8C75,0,58,0.00%
STMICROELECTRONICS NV,5962332,1,60,0.00%
STOCKLAND NPV (STAPLED),6850856,"1,968","9,445",0.02%
STORA ENSO OYJ-R SHS,5072673,1,13,0.00%
STRAUMANN HOLDING AG-REG,BQ7ZV06,0,50,0.00%
STRIKE ENERGY LTD NPV,B01NQF4,"1,799",378,0.00%
STRYKER CORP COM,2853688,1,423,0.00%
SUBARU CORP,6356406,1,31,0.00%
SUMEC CORP LTD-A,BMF4S06,14,28,0.00%
SUMITOMO CORPORATION,6858946,2,86,0.00%
SUMITOMO ELECTRIC INDS ORD,6858708,1,37,0.00%
SUMITOMO FORESTRY CO LTD,6858861,28,"1,539",0.00%
SUMITOMO METAL MINING CO LTD,6858849,0,17,0.00%
SUMITOMO MITSUI FINANCIAL GR,6563024,51,"1,972",0.00%
SUMITOMO MITSUI TRUST GROUP,6431897,41,"1,566",0.00%
SUMITOMO OSAKA CEMENT CO LTD,6858548,19,658,0.00%
SUMITOMO REALTY & DEVELOPMNT,6858902,1,31,0.00%
SUN COMMUNITIES INC COM USD0.01,2860257,0,44,0.00%
SUN CORP,6507118,21,"2,142",0.00%
SUN HUNG KAI PROPERTIES,6859927,3,42,0.00%
SUN LIFE FINANCIAL INC,2566124,1,129,0.00%
SUNCOR ENERGY INC COM,B3NB1P2,35,"2,028",0.00%
SUNCORP GROUP LTD,6585084,936,"17,789",0.03%
SUNGROW POWER SUPPLY CO LT-A,BD5CGB4,17,273,0.00%
SUNTORY BEVERAGE & NPV,BBD7Q84,1,27,0.00%
SUNWODA ELECTRONIC CO LTD-A,BD5CCV6,5,27,0.00%
SUPER MICRO COMPUTER INC,US86800U3023 (ISIN),1,58,0.00%
SUPER RETAIL GROUP LTD,B01C7R0,121,"1,837",0.00%
SUPERLOOP LTD SLC,BYPC6V1,885,"1,939",0.00%
SUZUKI MOTOR CORPORATION,6865504,3,57,0.00%
SVB FINANCIAL GROUP COM USD0.001,2808053,1,0,0.00%
SVENSKA CELLULOSA AB-B SHS,B1VVGZ5,2,31,0.00%
SVENSKA HANDELSBANKEN-A,BXDZ9Q1,5,80,0.00%
SVITZER A/S,BPXW7F1,0,22,0.00%
SWATCH GROUP AG/THE-BR,7184725,0,8,0.00%
SWEDBANK AB - A SHARES,4846523,2,75,0.00%
SWEDISH ORPHAN BIOVITRUM AB,B1CC9H0,1,34,0.00%
SWIRE PACIFIC LTD  'A',6867748,1,11,0.00%
SWIRE PACIFIC LTD 'B',6867760,284,662,0.00%
SWISS LIFE HOLDING AG-REG,7437805,0,88,0.00%
SWISS PRIME SITE-REG CHF25.60(REGD),B083BH4,0,21,0.00%
SWISS RE AG,B545MG5,1,145,0.00%
SWISSCOM AG ORD SHS(REGD),5533976,0,66,0.00%
SYENSQO SA,BPSLYH4,0,22,0.00%
SYLVANIA PLATINUM LTD,B3V5PR6,617,522,0.00%
SYMBOTIC INC,BPG82M8,69,"2,642",0.00%
SYMRISE AG NPV (BR),B1JB4K8,0,51,0.00%
SYNCHRONY FINANCIAL SYF,BP96PS6,49,"5,139",0.01%
SYNOPSYS INC COM,2867719,11,"8,321",0.02%
SYNTHOMER PLC,BNTVWJ7,149,486,0.00%
SYRAH RESOURCES LTD NPV,B23HV20,"4,139",849,0.00%
SYSCO CORP COM,2868165,55,"6,792",0.01%
SYSMEX CORPORATION SHS,6883807,1,39,0.00%
T HASEGAWA CO LTD NPV,6899268,12,384,0.00%
T ROWE PRICE GROUP INC COM,2702337,0,87,0.00%
T&D HOLDINGS INC,6744294,1,36,0.00%
TABCORP HOLDINGS LIMITED,6873262,"2,644","1,494",0.00%
TAISEI CORPORATION,6870100,0,30,0.00%
TAIWAN SEMICONDUCTOR MANUFAC,6889106,737,"39,016",0.07%
TAIWAN SEMICONDUCTOR-SP ADR,2113382,74,"23,472",0.04%
TAKEDA PHARMACEUTICAL CO LTD,6870445,3,130,0.00%
TAKE-TWO INTERACTIVE S COM,2122117,0,95,0.00%
TALANX AG TALANX AG,B8F0TD6,0,-18,0.00%
TAMBURI INVESTMENT PARTNERS EUR0.52,B0NN179,202,"2,838",0.01%
TANDEM DIABETES CARE INC TNDM,BF3W461,99,"5,772",0.01%
TANGSHAN PORT GROUP CO LTD-A,BP3R9F0,151,157,0.00%
TANGSHAN SANYOU CHEMICAL I-A,BP3RB98,8,10,0.00%
TARGA RESOURCES CORP COM USD0.001,B55PZY3,0,91,0.00%
TARGET CORP COM,2259101,1,211,0.00%
TATA CONSULTANCY SVS LTD,B01NPJ1,114,"8,770",0.02%
TAV HAVALIMANLARI HOLDING AS TRY1,B1RMFT9,49,618,0.00%
TAYLOR WIMPEY PLC,878230,4,9,0.00%
TC ENERGY CORP,BJMY6G0,2,159,0.00%
TCL CORP-A,BD5CP28,15,16,0.00%
TCS GROUP HLDG PLC GDR EACH REPR 1 A REG,BF233S0,41,0,0.00%
TDK CORP TDK CORP,6869302,3,70,0.00%
TE CONNECTIVITY PLC,BRC3N84,1,156,0.00%
TECHNOLOGY ONE LIMITED NPV(POST RECON),6302410,528,"16,543",0.03%
TECHTRONIC INDUSTRIES CO,B0190C7,193,"4,112",0.01%
TECK RESOURCES LTD-CLS B,2879327,13,871,0.00%
TEEJAY LANKA PLC,B5ZXWL3,950,274,0.00%
TELE2 AB-B SHS,B97C733,0,-3,0.00%
TELECOM ITALIA EUR0.55,7634394,40,16,0.00%
TELEDYNE TECHNOLOGIES INC COM USD0.01,2503477,0,75,0.00%
TELEFLEX INC COM,2881407,0,22,0.00%
TELEFONICA SA EUR1,5732524,10,65,0.00%
TELENOR ASA,4732495,2,34,0.00%
TELEPERFORMANCE EUR2.50,5999330,0,15,0.00%
TELEVISION BROADCASTS LTD,B87ZDH1,244,153,0.00%
TELIA CO AB,5978384,2,8,0.00%
TELIX PHARMACEUTICALS LTD TLX,BF7M092,481,"11,830",0.02%
TELKOM INDONESIA PERSERO TBK,BD4T6W7,"26,275","7,145",0.01%
TELSTRA CORP LTD SHS,6087289,"15,778","63,269",0.12%
TELUS CORP COM WHEN ISSUE,2381093,1,11,0.00%
