Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
High Growth,Fixed Income,Australia & New Zealand Banking Group Ltd/New York NY,,,176340.0,0.0,,,AustralianSuper,0.0004267945614723,,,,
High Growth,Fixed Income,Australia Pacific Airports Melbourne Pty Ltd,,,580622.0,0.0,,,AustralianSuper,0.0014052756712668,,,,
High Growth,Fixed Income,Australian Unity Healthcare Property Trust,,,269863.0,0.0,,,AustralianSuper,0.0006531476734864,,,,
High Growth,Fixed Income,Australian Unity Ltd,,,711240.0,0.0,,,AustralianSuper,0.0017214095718588,,,,
High Growth,Fixed Income,Autoroutes du Sud de la France SA,,,16810.0,0.0,,,AustralianSuper,4.068513427668083e-05,,,,
High Growth,Fixed Income,Autostrade per l'Italia SpA,,,44028.0,0.0,,,AustralianSuper,0.0001065606836367,,,,
High Growth,Fixed Income,Aviva PLC,,,17441.0,0.0,,,AustralianSuper,4.2212339495514006e-05,,,,
High Growth,Fixed Income,Axa Sa,,,59312.0,0.0,,,AustralianSuper,0.0001435524499832,,,,
High Growth,Fixed Income,Ayvens SA,,,47371.0,0.0,,,AustralianSuper,0.0001146517249149,,,,
High Growth,Fixed Income,Balder Finland Oyj,,,11114.0,0.0,,,AustralianSuper,2.6899142317134488e-05,,,,
High Growth,Fixed Income,Banco Bilbao Vizcaya Argentaria SA,,,103250.0,0.0,,,AustralianSuper,0.000249895307202,,,,
High Growth,Fixed Income,Banco BPM SpA,,,31254.0,0.0,,,AustralianSuper,7.564385405612033e-05,,,,
High Growth,Fixed Income,Banco De Sabadell Sa,,,25458.0,0.0,,,AustralianSuper,6.161583274335161e-05,,,,
