Effective Date,Option,Asset Class,Internal/External,Name/kind of investment item,Units,Value (AUD),Weighting,% Ownership / Property Held,Currency,Security Identifier
31/12/2024,High Growth,Listed Equity,,Air China Ltd,3812.81657,6673.4153,0.00000181,,,CNE000001NN0
31/12/2024,High Growth,Listed Equity,,Air Liquide SA,1634.440662,428944.8639,0.00011606,,,FR0000120073
31/12/2024,High Growth,Listed Equity,,Air New Zealand Ltd,211296.0846,115156.3664,0.00003116,,,NZAIRE0001S2
31/12/2024,High Growth,Listed Equity,,Airports of Thailand PCL,16062.06711,45272.20931,0.00001225,,,TH0765010R16
31/12/2024,High Growth,Listed Equity,,Air Products and Chemicals Inc,983.63162,460780.9339,0.00012467,,,US0091581068
31/12/2024,High Growth,Listed Equity,,Airtac International Group,511.882171,21283.73685,0.00000576,,,KYG014081064
31/12/2024,High Growth,Listed Equity,,Aisin Corp,12663.25792,231322.049,0.00006259,,,JP3102000001
31/12/2024,High Growth,Listed Equity,,Ajinomoto Co Inc,1252.248317,83032.24562,0.00002247,,,JP3119600009
31/12/2024,High Growth,Listed Equity,,Akamai Technologies Inc,847.473674,130922.8088,0.00003542,,,US00971T1016
31/12/2024,High Growth,Listed Equity,,Akbank TAS,11705.09029,34671.31738,0.00000938,,,TRAAKBNK91N6
31/12/2024,High Growth,Listed Equity,,Aker BP ASA,6315.703536,199119.7938,0.00005387,,,NO0010345853
31/12/2024,High Growth,Listed Equity,,Akeso Inc,2360.559384,29792.10322,0.00000806,,,KYG0146B1032
31/12/2024,High Growth,Listed Equity,,Akzo Nobel NV,1622.740036,157300.9487,0.00004256,,,NL0013267909
31/12/2024,High Growth,Listed Equity,,Albemarle Corp,681.449441,94741.44828,0.00002563,,,US0126531013
31/12/2024,High Growth,Listed Equity,,Albertsons Cos Inc,2340.012965,74227.33493,0.00002008,,,US0130911037
31/12/2024,High Growth,Listed Equity,,Alchip Technologies Ltd,256.582542,41460.67617,0.00001122,,,KYG022421088
31/12/2024,High Growth,Listed Equity,,Alcoa Corp,18288.75359,1115964,0.00030194,,,US0138721065
31/12/2024,High Growth,Listed Equity,,Alcoa Corp,46923.48521,2783501.143,0.0007531,,,AU0000339426
31/12/2024,High Growth,Listed Equity,,Alcon AG,12320.75062,1688571.163,0.00045686,,,CH0432492467
31/12/2024,High Growth,Listed Equity,,Aldar Properties PJSC,14351.7392,48466.63066,0.00001311,,,AEA002001013
31/12/2024,High Growth,Listed Equity,,Alfa Laval AB,1010.010331,68297.1608,0.00001848,,,SE0000695876
31/12/2024,High Growth,Listed Equity,,Alfa SAB de CV,13554.79383,15888.18266,0.0000043,,,MXP000511016
31/12/2024,High Growth,Listed Equity,,Alibaba Group Holding Ltd,133478.9517,2286849.275,0.00061873,,,KYG017191142
31/12/2024,High Growth,Listed Equity,,Alibaba Group Holding Ltd,20901.62393,2862389.879,0.00077445,,,US01609W1027
31/12/2024,High Growth,Listed Equity,,Alibaba Health Information Technology Ltd,17755.51189,12256.56622,0.00000332,,,BMG0171K1018
31/12/2024,High Growth,Listed Equity,,Align Technology Inc,533.023356,179505.2893,0.00004857,,,US0162551016
31/12/2024,High Growth,Listed Equity,,Alimentation Couche-Tard Inc,3223.255088,288566.941,0.00007807,,,CA01626P1484
31/12/2024,High Growth,Listed Equity,,Alior Bank SA,336.328396,11307.11434,0.00000306,,,PLALIOR00045
31/12/2024,High Growth,Listed Equity,,Alkem Laboratories Ltd,152.102131,16166.0867,0.00000437,,,INE540L01014
31/12/2024,High Growth,Listed Equity,,Allegion plc,822.323908,173562.6072,0.00004696,,,IE00BFRT3W74
31/12/2024,High Growth,Listed Equity,,Allegro.eu SA,2245.969621,23781.72492,0.00000643,,,LU2237380790
31/12/2024,High Growth,Listed Equity,,Alliant Energy Corp,1244.756319,118896.6951,0.00003217,,,US0188021085
31/12/2024,High Growth,Listed Equity,,Allianz SE,2847.129596,1408984.498,0.00038121,,,DE0008404005
31/12/2024,High Growth,Listed Equity,,Allstate Corp/The,3016.656667,939322.0361,0.00025414,,,US0200021014
31/12/2024,High Growth,Listed Equity,,Ally Financial Inc,36345.69927,2113879.724,0.00057193,,,US02005N1000
31/12/2024,High Growth,Listed Equity,,Alnylam Pharmaceuticals Inc,3092.644618,1175369.789,0.00031801,,,US02043Q1076
31/12/2024,High Growth,Listed Equity,,Alphabet Inc,67219.81144,20551902.3,0.00556052,,,US02079K3059
31/12/2024,High Growth,Listed Equity,,Alphabet Inc,74750.29798,22991919.16,0.00622069,,,US02079K1079
31/12/2024,High Growth,Listed Equity,,Alpha HPA Ltd,729216.2893,649002.4975,0.00017559,,,AU0000033060
31/12/2024,High Growth,Listed Equity,,Alpha Services and Holdings SA,8371.621221,22639.85307,0.00000613,,,GRS015003007
31/12/2024,High Growth,Listed Equity,,Al Rayan Bank,20934.05641,22871.83858,0.00000619,,,QA000A0M8VM3
31/12/2024,High Growth,Listed Equity,,ALS Ltd,311283.5543,4694155.999,0.00127005,,,AU000000ALQ6
31/12/2024,High Growth,Listed Equity,,Alstom SA,1353.968151,48821.51158,0.00001321,,,FR0010220475
31/12/2024,High Growth,Listed Equity,,AltaGas Ltd,850.194493,31966.0037,0.00000865,,,CA0213611001
31/12/2024,High Growth,Listed Equity,,Alteogen Inc,145.020453,49242.69739,0.00001332,,,KR7196170005
31/12/2024,High Growth,Listed Equity,,Aluminum Corp of China Ltd,14779.1544,13797.27973,0.00000373,,,CNE1000001T8
31/12/2024,High Growth,Listed Equity,,Aluminum Corp of China Ltd,3371.494598,5483.218693,0.00000148,,,CNE1000000T0
31/12/2024,High Growth,Listed Equity,,Amadeus IT Group SA,1789.996925,204169.4101,0.00005524,,,ES0109067019
31/12/2024,High Growth,Listed Equity,,Amazon.com Inc,104508.0475,37031447.22,0.01001923,,,US0231351067
31/12/2024,High Growth,Listed Equity,,Ambev SA,16942.81234,52002.02146,0.00001407,,,BRABEVACNOR1
31/12/2024,High Growth,Listed Equity,,Ambuja Cements Ltd,2234.833938,22589.5942,0.00000611,,,INE079A01024
31/12/2024,High Growth,Listed Equity,,Amcor PLC,479494.8831,7178038.401,0.00194209,,,AU000000AMC4
31/12/2024,High Growth,Listed Equity,,Amcor PLC,6950.651626,105637.7805,0.00002858,,,JE00BJ1F3079
31/12/2024,High Growth,Listed Equity,,Ameren Corp,1234.338256,177709.6218,0.00004808,,,US0236081024
31/12/2024,High Growth,Listed Equity,,America Movil SAB de CV,13176.34299,304536.0064,0.0000824,,,US02390A1016
31/12/2024,High Growth,Listed Equity,,America Movil SAB de CV,65492.53982,76054.53025,0.00002058,,,MX01AM050019
31/12/2024,High Growth,Listed Equity,,Americana Restaurants International PLC - Foreign Co,9480.673599,9213.158589,0.00000249,,,AEE01135A222
31/12/2024,High Growth,Listed Equity,,American Electric Power Co Inc,15486.68522,2306932.049,0.00062416,,,US0255371017
31/12/2024,High Growth,Listed Equity,,American Express Co,4276.920863,2050145.107,0.00055469,,,US0258161092
31/12/2024,High Growth,Listed Equity,,American Financial Group Inc/OH,739.337697,163510.4753,0.00004424,,,US0259321042
31/12/2024,High Growth,Listed Equity,,American International Group Inc,4434.44541,521404.5486,0.00014107,,,US0268747849
