Effective Date,Option,Asset Class,Internal/External,Name/kind of investment item,Units,Value (AUD),Weighting,% Ownership / Property Held,Currency,Security Identifier
31/12/2024,Indexed Balanced Growth,Listed Equity,,Arkema SA,191.900142,23605.43054,0.000051,,,FR0010313833
31/12/2024,Indexed Balanced Growth,Listed Equity,,Arthur J Gallagher & Co,346.302554,158762.7883,0.00034299,,,US3635761097
31/12/2024,Indexed Balanced Growth,Listed Equity,,Asahi Group Holdings Ltd,2205.748753,37561.29114,0.00008115,,,JP3116000005
31/12/2024,Indexed Balanced Growth,Listed Equity,,Asahi Kasei Corp,3382.148089,37973.09708,0.00008204,,,JP3111200006
31/12/2024,Indexed Balanced Growth,Listed Equity,,ASE Technology Holding Co Ltd,6617.24626,52811.40422,0.00011409,,,TW0003711008
31/12/2024,Indexed Balanced Growth,Listed Equity,,Ashtead Group PLC,636.72614,63946.818,0.00013815,,,GB0000536739
31/12/2024,Indexed Balanced Growth,Listed Equity,,Asian Paints Ltd,1280.069527,55091.67052,0.00011902,,,INE021A01026
31/12/2024,Indexed Balanced Growth,Listed Equity,,Asia Vital Components Co Ltd,735.249584,22566.19202,0.00004875,,,TW0003017000
31/12/2024,Indexed Balanced Growth,Listed Equity,,Asics Corp,1470.499169,46998.83716,0.00010153,,,JP3118000003
31/12/2024,Indexed Balanced Growth,Listed Equity,,ASM International NV,50.732221,47412.65769,0.00010243,,,NL0000334118
31/12/2024,Indexed Balanced Growth,Listed Equity,,ASML Holding NV,619.08015,702714.2242,0.00151812,,,NL0010273215
31/12/2024,Indexed Balanced Growth,Listed Equity,,Aspen Technology Inc,33.086231,13339.76556,0.00002882,,,US29109X1063
31/12/2024,Indexed Balanced Growth,Listed Equity,,ASR Nederland NV,235.279867,18014.18096,0.00003892,,,NL0011872643
31/12/2024,Indexed Balanced Growth,Listed Equity,,Assa Abloy AB,1693.279793,80887.60809,0.00017475,,,SE0007100581
31/12/2024,Indexed Balanced Growth,Listed Equity,,Associated British Foods PLC,833.037779,34425.48842,0.00007437,,,GB0006731235
31/12/2024,Indexed Balanced Growth,Listed Equity,,Assurant Inc,86.759451,29877.81534,0.00006455,,,US04621X1081
31/12/2024,Indexed Balanced Growth,Listed Equity,,Astellas Pharma Inc,2940.998338,46379.24234,0.0001002,,,JP3942400007
