Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
Equity,-,Woolworths Group Ltd.,2667684.0,0.15,WOW AU,-,Listed,Rest,Balanced,0.155082755481698,woolworthsgroup.com.au,Woolworths Group,,
Equity,-,Woodside Energy Group Ltd.,2654514.0,0.15,WDS AU,-,Listed,Rest,Balanced,0.154317132608189,woodside.com,Woodside Energy,,
Equity,-,Amcor Plc,2624660.0,0.15,AMC AU,-,Listed,Rest,Balanced,0.1525816044938581,amcor.com,Amcor,,
Equity,-,"Visa, Inc.",2620036.0,0.15,V US,-,Listed,Rest,Balanced,0.152312793547229,visa.com,Visa,,
Equity,-,Jpmorgan Chase & Co.,2514632.0,0.15,JPM US,-,Listed,Rest,Balanced,0.1461852526695265,jpmorganchase.com,JPMorgan Chase,,
Equity,-,Tencent Holdings Ltd.,2441526.0,0.14,700 HK,-,Listed,Rest,Balanced,0.1419353190483611,tencent.com,Tencent,,
Equity,-,Origin Energy Ltd.,2340365.0,0.13,ORG AU,-,Listed,Rest,Balanced,0.1360544401184413,originenergy.com.au,Origin Energy,,
Equity,-,Transurban Group,2337222.0,0.13,TCL AU,-,Listed,Rest,Balanced,0.1358717254114224,transurban.com,Transurban,,
Equity,-,Worley Ltd.,2321507.0,0.13,WOR AU,-,Listed,Rest,Balanced,0.134958151876328,worley.com,Worley,,
Equity,-,Bank Of America Corp.,2309244.0,0.13,BAC US,-,Listed,Rest,Balanced,0.1342452564095216,bankofamerica.com,Bank of America,,
Equity,-,Brambles Ltd.,2262750.0,0.13,BXB AU,-,Listed,Rest,Balanced,0.1315423809439994,brambles.com,Brambles,,
Equity,-,Insurance Australia Group Ltd.,2252607.0,0.13,IAG AU,-,Listed,Rest,Balanced,0.1309527292503015,iag.com.au,IAG,,
Equity,-,Pro Medicus Ltd.,2244204.0,0.13,PME AU,-,Listed,Rest,Balanced,0.1304642304647209,promedicus.com,Pro Medicus,,
Equity,-,Newmont Corp.,2145181.0,0.12,NEM AU,-,Listed,Rest,Balanced,0.124707641717304,newmont.com,Newmont,,
Equity,-,Procter & Gamble Co.,2136270.0,0.12,PG US,-,Listed,Rest,Balanced,0.1241896109332616,pg.com,Procter & Gamble,,
Equity,-,"Netflix, Inc.",2117811.0,0.12,NFLX US,-,Listed,Rest,Balanced,0.1231165180993889,netflix.com,Netflix,,
Equity,-,Sgh Ltd.,2063938.0,0.12,SGH AU,-,Listed,Rest,Balanced,0.1199846729160518,sghlimited.com,SGH,,
